t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
26/7/2020,0.131028951,0.003326245,0.000670994,0.10056841,0.069862193,0.08045708,0.002169674,0.002604366,0.004301838,8.84E-01,0.10422581,0.016436427,0.000100464,0.05
27/7/2020,0.131028951,0.003326245,0.000670994,0.10056841,0.069862193,0.08045708,0.002169674,0.002604366,0.004301838,8.84E-01,0.10422581,0.016436427,0.000100464,0.05
28/7/2020,0.131028951,0.003326245,0.000670994,0.10056841,0.069862193,0.08045708,0.002169674,0.002604366,0.004301838,8.84E-01,0.10422581,0.016436427,0.000100464,0.05
29/7/2020,0.131028951,0.003326245,0.000670994,0.10056841,0.069862193,0.08045708,0.002169674,0.002604366,0.004301838,8.84E-01,0.10422581,0.016436427,0.000100464,0.05
30/7/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
31/7/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
1/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
2/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
3/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
4/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
5/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
6/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
7/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
8/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
9/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,9.05E-01,0.083993685,0.019562632,0.000100806,0.05
10/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,0.904502507,0.083993685,0.019562632,0.000100806,0.05
11/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,0.904502507,0.083993685,0.019562632,0.000100806,0.05
12/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,0.904502507,0.083993685,0.019562632,0.000100806,0.05
13/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,0.904502507,0.083993685,0.019562632,0.000100806,0.05
14/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,0.904502507,0.083993685,0.019562632,0.000100806,0.05
15/8/2020,0.127651316,0.000964605,0.000127874,0.135960302,0.096905272,0.109392409,0.002143311,0.002462627,0.004286622,0.904502507,0.083993685,0.019562632,0.000100806,0.05
16/8/2020,0.174311775,0.000314224,0.000648588,0.162513133,0.123901769,0.142712781,0.00257407,0.002955717,0.00499268,0.905400066,0.096591062,0.022645257,9.94E-05,0.05
17/8/2020,0.174311775,0.000314224,0.000648588,0.162513133,0.123901769,0.142712781,0.00257407,0.002955717,0.00499268,0.905400066,0.096591062,0.022645257,9.94E-05,0.05
18/8/2020,0.174311775,0.000314224,0.000648588,0.162513133,0.123901769,0.142712781,0.00257407,0.002955717,0.00499268,0.905400066,0.096591062,0.022645257,9.94E-05,0.05
19/8/2020,0.174311775,0.000314224,0.000648588,0.162513133,0.123901769,0.142712781,0.00257407,0.002955717,0.00499268,0.905400066,0.096591062,0.022645257,9.94E-05,0.05
20/8/2020,0.174311775,0.000314224,0.000648588,0.162513133,0.123901769,0.142712781,0.00257407,0.002955717,0.00499268,0.905400066,0.096591062,0.022645257,9.94E-05,0.05
21/8/2020,0.174311775,0.000314224,0.000648588,0.162513133,0.123901769,0.142712781,0.00257407,0.002955717,0.00499268,0.905400066,0.096591062,0.022645257,9.94E-05,0.05
