t,beta1,r1,sigma
23/7/2020,0.122056669,0.106050363,0.05
24/7/2020,0.122056669,0.106050363,0.05
25/7/2020,0.122056669,0.106050363,0.05
26/7/2020,0.122056669,0.106050363,0.05
27/7/2020,0.122056669,0.106050363,0.05
28/7/2020,0.122056669,0.106050363,0.05
29/7/2020,0.122056669,0.106050363,0.05
30/7/2020,0.122056669,0.106050363,0.05
31/7/2020,0.122056669,0.106050363,0.05
1/8/2020,0.122056669,0.106050363,0.05
2/8/2020,0.122056669,0.106050363,0.05
3/8/2020,0.122056669,0.106050363,0.05
4/8/2020,0.122056669,0.106050363,0.05
5/8/2020,0.122056669,0.106050363,0.05
6/8/2020,0.122056669,0.106050363,0.05
7/8/2020,0.124620392,0.201795783,0.05
8/8/2020,0.124620392,0.201795783,0.05
9/8/2020,0.124620392,0.201795783,0.05
10/8/2020,0.124620392,0.201795783,0.05
11/8/2020,0.124620392,0.201795783,0.05
12/8/2020,0.124620392,0.201795783,0.05
13/8/2020,0.124620392,0.201795783,0.05
14/8/2020,0.179111396,0.168591377,0.05
15/8/2020,0.179111396,0.168591377,0.05
16/8/2020,0.179111396,0.168591377,0.05
17/8/2020,0.179111396,0.168591377,0.05
18/8/2020,0.179111396,0.168591377,0.05
19/8/2020,0.179111396,0.168591377,0.05
20/8/2020,0.179111396,0.168591377,0.05
21/8/2020,0.179111396,0.168591377,0.05
22/8/2020,0.179111396,0.168591377,0.05
23/8/2020,0.179111396,0.168591377,0.05
24/8/2020,0.179111396,0.168591377,0.05
25/8/2020,0.179111396,0.168591377,0.05
26/8/2020,0.179111396,0.168591377,0.05
27/8/2020,0.179111396,0.168591377,0.05
28/8/2020,0.179111396,0.168591377,0.05
29/8/2020,0.179760299,0.127802107,0.05
30/8/2020,0.179760299,0.127802107,0.05
31/8/2020,0.179760299,0.127802107,0.05
1/9/2020,0.179760299,0.127802107,0.05
2/9/2020,0.179760299,0.127802107,0.05
3/9/2020,0.179760299,0.127802107,0.05
4/9/2020,0.179760299,0.127802107,0.05
5/9/2020,0.179760299,0.127802107,0.05
6/9/2020,0.179760299,0.127802107,0.05
7/9/2020,0.177315593,0.181144974,0.05
8/9/2020,0.177315593,0.181144974,0.05
9/9/2020,0.177315593,0.181144974,0.05
10/9/2020,0.177315593,0.181144974,0.05
11/9/2020,0.177315593,0.181144974,0.05
12/9/2020,0.177315593,0.181144974,0.05
13/9/2020,0.177315593,0.181144974,0.05
14/9/2020,0.177315593,0.181144974,0.05
15/9/2020,0.204199174,0.143326357,0.05
16/9/2020,0.204199174,0.143326357,0.05
17/9/2020,0.204199174,0.143326357,0.05
18/9/2020,0.204199174,0.143326357,0.05
19/9/2020,0.204199174,0.143326357,0.05
20/9/2020,0.204199174,0.143326357,0.05
21/9/2020,0.204199174,0.143326357,0.05
22/9/2020,0.204199174,0.143326357,0.05
23/9/2020,0.204199174,0.143326357,0.05
24/9/2020,0.204199174,0.143326357,0.05
25/9/2020,0.204199174,0.143326357,0.05
26/9/2020,0.196039225,0.157645217,0.05
27/9/2020,0.196039225,0.157645217,0.05
28/9/2020,0.196039225,0.157645217,0.05
29/9/2020,0.196039225,0.157645217,0.05
30/9/2020,0.196039225,0.157645217,0.05
1/10/2020,0.196039225,0.157645217,0.05
2/10/2020,0.196039225,0.157645217,0.05
3/10/2020,0.196039225,0.157645217,0.05
4/10/2020,0.196039225,0.157645217,0.05
5/10/2020,0.196039225,0.157645217,0.05
6/10/2020,0.196039225,0.157645217,0.05
7/10/2020,0.196039225,0.157645217,0.05
8/10/2020,0.18518019,0.168610395,0.05
9/10/2020,0.18518019,0.168610395,0.05
10/10/2020,0.18518019,0.168610395,0.05
11/10/2020,0.18518019,0.168610395,0.05
12/10/2020,0.18518019,0.168610395,0.05
13/10/2020,0.18518019,0.168610395,0.05
14/10/2020,0.18518019,0.168610395,0.05
15/10/2020,0.18518019,0.168610395,0.05
16/10/2020,0.132660745,0.072141227,0.05
17/10/2020,0.132660745,0.072141227,0.05
18/10/2020,0.132660745,0.072141227,0.05
19/10/2020,0.132660745,0.072141227,0.05
20/10/2020,0.132660745,0.072141227,0.05
21/10/2020,0.132660745,0.072141227,0.05
22/10/2020,0.156916054,0.162097579,0.05
23/10/2020,0.156916054,0.162097579,0.05
24/10/2020,0.156916054,0.162097579,0.05
25/10/2020,0.156916054,0.162097579,0.05
26/10/2020,0.156916054,0.162097579,0.05
27/10/2020,0.156916054,0.162097579,0.05
28/10/2020,0.156916054,0.162097579,0.05
29/10/2020,0.156916054,0.162097579,0.05
30/10/2020,0.149148352,0.113595003,0.05
31/10/2020,0.149148352,0.113595003,0.05
1/11/2020,0.149148352,0.113595003,0.05
2/11/2020,0.149148352,0.113595003,0.05
3/11/2020,0.149148352,0.113595003,0.05
4/11/2020,0.149148352,0.113595003,0.05
5/11/2020,0.149148352,0.113595003,0.05
6/11/2020,0.149148352,0.113595003,0.05
7/11/2020,0.145852785,0.106618,0.05
8/11/2020,0.145852785,0.106618,0.05
9/11/2020,0.145852785,0.106618,0.05
10/11/2020,0.145852785,0.106618,0.05
11/11/2020,0.145852785,0.106618,0.05
12/11/2020,0.145852785,0.106618,0.05
13/11/2020,0.145852785,0.106618,0.05
14/11/2020,0.145852785,0.106618,0.05
15/11/2020,0.145852785,0.106618,0.05
16/11/2020,0.128168055,0.10764523,0.05
17/11/2020,0.128168055,0.10764523,0.05
18/11/2020,0.128168055,0.10764523,0.05
19/11/2020,0.128168055,0.10764523,0.05
20/11/2020,0.128168055,0.10764523,0.05
21/11/2020,0.128168055,0.10764523,0.05
22/11/2020,0.128168055,0.10764523,0.05
23/11/2020,0.128168055,0.10764523,0.05
24/11/2020,0.121442,0.099469682,0.05
25/11/2020,0.121442,0.099469682,0.05
26/11/2020,0.121442,0.099469682,0.05
27/11/2020,0.121442,0.099469682,0.05
28/11/2020,0.121442,0.099469682,0.05
29/11/2020,0.121442,0.099469682,0.05
30/11/2020,0.121442,0.099469682,0.05
1/12/2020,0.121442,0.099469682,0.05
2/12/2020,0.121442,0.099469682,0.05
3/12/2020,0.121442,0.099469682,0.05
4/12/2020,0.121442,0.099469682,0.05
5/12/2020,0.119288212,0.113429016,0.05
6/12/2020,0.119288212,0.113429016,0.05
7/12/2020,0.119288212,0.113429016,0.05
8/12/2020,0.119288212,0.113429016,0.05
9/12/2020,0.119288212,0.113429016,0.05
10/12/2020,0.119288212,0.113429016,0.05
11/12/2020,0.119288212,0.113429016,0.05
12/12/2020,0.119288212,0.113429016,0.05
13/12/2020,0.119288212,0.113429016,0.05
