t,beta1,r1,d1,gamma,sigma
23/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
24/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
25/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
26/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
27/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
28/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
29/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
30/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
31/7/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
1/8/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
2/8/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
3/8/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
4/8/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
5/8/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
6/8/2020,0.118363973,0.098914199,0.001949917,0.000100071,0.05
7/8/2020,0.129520983,0.201319591,0.002413221,0.000105329,0.05
8/8/2020,0.129520983,0.201319591,0.002413221,0.000105329,0.05
9/8/2020,0.129520983,0.201319591,0.002413221,0.000105329,0.05
10/8/2020,0.129520983,0.201319591,0.002413221,0.000105329,0.05
11/8/2020,0.129520983,0.201319591,0.002413221,0.000105329,0.05
12/8/2020,0.129520983,0.201319591,0.002413221,0.000105329,0.05
13/8/2020,0.129520983,0.201319591,0.002413221,0.000105329,0.05
14/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
15/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
16/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
17/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
18/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
19/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
20/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
21/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
22/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
23/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
24/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
25/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
26/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
27/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
28/8/2020,0.177551848,0.167874952,0.002726149,0.000103765,0.05
29/8/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
30/8/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
31/8/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
1/9/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
2/9/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
3/9/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
4/9/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
5/9/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
6/9/2020,0.176412036,0.123707106,0.001762176,0.000100835,0.05
7/9/2020,0.179020174,0.179677525,0.000937793,0.000100889,0.05
8/9/2020,0.179020174,0.179677525,0.000937793,0.000100889,0.05
9/9/2020,0.179020174,0.179677525,0.000937793,0.000100889,0.05
10/9/2020,0.179020174,0.179677525,0.000937793,0.000100889,0.05
11/9/2020,0.179020174,0.179677525,0.000937793,0.000100889,0.05
12/9/2020,0.179020174,0.179677525,0.000937793,0.000100889,0.05
13/9/2020,0.179020174,0.179677525,0.000937793,0.000100889,0.05
14/9/2020,0.179020174,0.179677525,0.000937793,0.000100889,0.05
15/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
16/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
17/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
18/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
19/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
20/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
21/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
22/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
23/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
24/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
25/9/2020,0.203176487,0.139705007,0.001372549,0.000101739,0.05
26/9/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
27/9/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
28/9/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
29/9/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
30/9/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
1/10/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
2/10/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
3/10/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
4/10/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
5/10/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
6/10/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
7/10/2020,0.194829158,0.154010468,0.002325445,0.000104284,0.05
8/10/2020,0.183764104,0.167952175,0.001417319,0.000100471,0.05
9/10/2020,0.183764104,0.167952175,0.001417319,0.000100471,0.05
10/10/2020,0.183764104,0.167952175,0.001417319,0.000100471,0.05
11/10/2020,0.183764104,0.167952175,0.001417319,0.000100471,0.05
