t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
26/7/2020,0.132091896,0.003267407,0.000680265,0.101519829,0.071432692,0.078203751,0.00174185,0.001494064,0.002171309,0.889439018,0.102597748,0.016479159,0.000100699,0.05
27/7/2020,0.132091896,0.003267407,0.000680265,0.101519829,0.071432692,0.078203751,0.00174185,0.001494064,0.002171309,0.889439018,0.102597748,0.016479159,0.000100699,0.05
28/7/2020,0.132091896,0.003267407,0.000680265,0.101519829,0.071432692,0.078203751,0.00174185,0.001494064,0.002171309,0.889439018,0.102597748,0.016479159,0.000100699,0.05
29/7/2020,0.132091896,0.003267407,0.000680265,0.101519829,0.071432692,0.078203751,0.00174185,0.001494064,0.002171309,0.889439018,0.102597748,0.016479159,0.000100699,0.05
30/7/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
31/7/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
1/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
2/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
3/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
4/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
5/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
6/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
7/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
8/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
9/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
10/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
11/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
12/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
13/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
14/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
15/8/2020,0.130899569,0.00094568,0.000128741,0.133524295,0.095538066,0.105445193,0.001741351,0.001500902,0.002176689,0.918588421,0.082054075,0.019867283,9.98E-05,0.05
16/8/2020,0.171647954,0.000297821,0.000649892,0.176954221,0.124141735,0.142086229,0.002003388,0.001755928,0.002524872,0.907593505,0.095828942,0.022232203,0.000100001,0.05
