t,beta1,r1,d1,gamma,sigma
23/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
24/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
25/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
26/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
27/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
28/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
29/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
30/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
31/7/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
1/8/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
2/8/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
3/8/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
4/8/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
5/8/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
6/8/2020,0.117500877,0.100687997,0.001954675,0.000100154,0.05
7/8/2020,0.134881324,0.208632706,0.002352845,0.000103602,0.05
8/8/2020,0.134881324,0.208632706,0.002352845,0.000103602,0.05
9/8/2020,0.134881324,0.208632706,0.002352845,0.000103602,0.05
10/8/2020,0.134881324,0.208632706,0.002352845,0.000103602,0.05
11/8/2020,0.134881324,0.208632706,0.002352845,0.000103602,0.05
12/8/2020,0.134881324,0.208632706,0.002352845,0.000103602,0.05
13/8/2020,0.134881324,0.208632706,0.002352845,0.000103602,0.05
14/8/2020,0.180629321,0.167682837,0.002934429,9.92E-05,0.05
15/8/2020,0.180629321,0.167682837,0.002934429,9.92E-05,0.05
16/8/2020,0.180629321,0.167682837,0.002934429,9.92E-05,0.05
17/8/2020,0.180629321,0.167682837,0.002934429,9.92E-05,0.05
18/8/2020,0.180629321,0.167682837,0.002934429,9.92E-05,0.05
19/8/2020,0.180629321,0.167682837,0.002934429,9.92E-05,0.05
20/8/2020,0.180629321,0.167682837,0.002934429,9.92E-05,0.05
21/8/2020,0.180629321,0.167682837,0.002934429,9.92E-05,0.05
