t,beta1,r1,d1,gamma,sigma
6/4/2020,0.096755377,0.019565834,0.00553812,0.000102327,0.05
7/4/2020,0.096755377,0.019565834,0.00553812,0.000102327,0.05
8/4/2020,0.096755377,0.019565834,0.00553812,0.000102327,0.05
9/4/2020,0.096755377,0.019565834,0.00553812,0.000102327,0.05
10/4/2020,0.096755377,0.019565834,0.00553812,0.000102327,0.05
11/4/2020,0.096755377,0.019565834,0.00553812,0.000102327,0.05
12/4/2020,0.096755377,0.019565834,0.00553812,0.000102327,0.05
13/4/2020,0.096755377,0.019565834,0.00553812,0.000102327,0.05
14/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
15/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
16/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
17/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
18/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
19/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
20/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
21/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
22/4/2020,0.060677986,0.025476874,0.00390746,0.000103561,0.05
23/4/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
24/4/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
25/4/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
26/4/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
27/4/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
28/4/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
29/4/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
30/4/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
1/5/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
2/5/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
3/5/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
4/5/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
5/5/2020,0.074138324,0.023757294,0.002992518,0.000102208,0.05
