t,beta1,r1,d1,gamma,sigma
6/4/2020,0.093062586,0.020023561,0.005724982,0.000103092,0.05
7/4/2020,0.093062586,0.020023561,0.005724982,0.000103092,0.05
8/4/2020,0.093062586,0.020023561,0.005724982,0.000103092,0.05
9/4/2020,0.093062586,0.020023561,0.005724982,0.000103092,0.05
10/4/2020,0.093062586,0.020023561,0.005724982,0.000103092,0.05
11/4/2020,0.093062586,0.020023561,0.005724982,0.000103092,0.05
12/4/2020,0.093062586,0.020023561,0.005724982,0.000103092,0.05
13/4/2020,0.093062586,0.020023561,0.005724982,0.000103092,0.05
14/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
15/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
16/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
17/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
18/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
19/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
20/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
21/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
22/4/2020,0.06025578,0.026021501,0.003867181,0.000100091,0.05
23/4/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
24/4/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
25/4/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
26/4/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
27/4/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
28/4/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
29/4/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
30/4/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
1/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
2/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
3/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
4/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
5/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
6/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
7/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
8/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
9/5/2020,0.076217223,0.024054443,0.003023942,0.000100013,0.05
10/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
11/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
12/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
13/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
14/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
15/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
16/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
17/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
18/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
19/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
20/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
21/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
22/5/2020,0.066743256,0.017193454,0.001957007,9.96E-05,0.05
23/5/2020,0.06889008,0.019441202,0.001679965,0.000101321,0.05
24/5/2020,0.06889008,0.019441202,0.001679965,0.000101321,0.05
25/5/2020,0.06889008,0.019441202,0.001679965,0.000101321,0.05
26/5/2020,0.06889008,0.019441202,0.001679965,0.000101321,0.05
27/5/2020,0.06889008,0.019441202,0.001679965,0.000101321,0.05
28/5/2020,0.06889008,0.019441202,0.001679965,0.000101321,0.05
29/5/2020,0.06889008,0.019441202,0.001679965,0.000101321,0.05
30/5/2020,0.06889008,0.019441202,0.001679965,0.000101321,0.05
31/5/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
1/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
2/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
3/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
4/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
5/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
6/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
7/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
8/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
9/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
10/6/2020,0.070631082,0.048095624,0.002459749,0.000100165,0.05
11/6/2020,0.074226174,0.03480894,0.002392007,0.000100292,0.05
12/6/2020,0.074226174,0.03480894,0.002392007,0.000100292,0.05
13/6/2020,0.074226174,0.03480894,0.002392007,0.000100292,0.05
