t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
9/3/2020,0.233754714,0.11519792,0.018458988,0.019441334,0.01362435,0.0156053,0.019486959,0.022739786,0.038988381,0.535508362,0.404368814,0.060278836,0.000100475,0.05
10/3/2020,0.233754714,0.11519792,0.018458988,0.019441334,0.01362435,0.0156053,0.019486959,0.022739786,0.038988381,0.535508362,0.404368814,0.060278836,0.000100475,0.05
11/3/2020,0.233754714,0.11519792,0.018458988,0.019441334,0.01362435,0.0156053,0.019486959,0.022739786,0.038988381,0.535508362,0.404368814,0.060278836,0.000100475,0.05
12/3/2020,0.233754714,0.11519792,0.018458988,0.019441334,0.01362435,0.0156053,0.019486959,0.022739786,0.038988381,0.535508362,0.404368814,0.060278836,0.000100475,0.05
13/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
14/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
15/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
16/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
17/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
18/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
19/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
20/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
21/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
22/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
23/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
24/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
25/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
26/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
27/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
28/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
29/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
30/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
31/3/2020,0.138701777,0.044570203,0.005432033,0.021188083,0.014827446,0.017172817,0.015433829,0.018446973,0.030915109,0.639746003,0.31968026,0.042552464,9.93E-05,0.05
1/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
2/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
3/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
4/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
5/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
6/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
7/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
8/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
9/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
10/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
11/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
12/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
13/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
14/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
15/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
16/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
17/4/2020,0.043446527,0.002614203,0.000790116,0.017742911,0.012406059,0.013975416,0.006678868,0.008025554,0.01322073,0.732343833,0.252431267,0.027387724,0.000100527,0.05
18/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
19/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
20/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
21/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
22/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
23/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
24/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
25/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
26/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
27/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
28/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
29/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
30/4/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
1/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
2/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
3/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
4/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
5/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
6/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
7/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
8/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
9/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
10/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
11/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
12/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
13/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
14/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
15/5/2020,0.018668961,0.006153562,0.000711844,0.029882935,0.020918086,0.023906354,0.003261651,0.004027561,0.006542588,0.817681196,0.168774393,0.014139142,0.000100059,0.05
16/5/2020,0.010184879,0.005205046,0.000377125,0.040448957,0.028361756,0.032362397,0.002014191,0.002416472,0.003834347,0.848876399,0.140415068,0.009040187,0.000101031,0.05
17/5/2020,0.010184879,0.005205046,0.000377125,0.040448957,0.028361756,0.032362397,0.002014191,0.002416472,0.003834347,0.848876399,0.140415068,0.009040187,0.000101031,0.05
18/5/2020,0.010184879,0.005205046,0.000377125,0.040448957,0.028361756,0.032362397,0.002014191,0.002416472,0.003834347,0.848876399,0.140415068,0.009040187,0.000101031,0.05
19/5/2020,0.010184879,0.005205046,0.000377125,0.040448957,0.028361756,0.032362397,0.002014191,0.002416472,0.003834347,0.848876399,0.140415068,0.009040187,0.000101031,0.05
20/5/2020,0.010184879,0.005205046,0.000377125,0.040448957,0.028361756,0.032362397,0.002014191,0.002416472,0.003834347,0.848876399,0.140415068,0.009040187,0.000101031,0.05
21/5/2020,0.010184879,0.005205046,0.000377125,0.040448957,0.028361756,0.032362397,0.002014191,0.002416472,0.003834347,0.848876399,0.140415068,0.009040187,0.000101031,0.05
22/5/2020,0.010184879,0.005205046,0.000377125,0.040448957,0.028361756,0.032362397,0.002014191,0.002416472,0.003834347,0.848876399,0.140415068,0.009040187,0.000101031,0.05
