t,beta1,r1,d1,gamma,sigma
16/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
17/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
18/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
19/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
20/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
21/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
22/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
23/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
24/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
25/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
26/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
27/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
28/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
29/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
30/3/2020,0.119781907,0.020614311,0.015968457,0.000100384,0.05
31/3/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
1/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
2/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
3/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
4/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
5/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
6/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
7/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
8/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
9/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
10/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
11/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
12/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
13/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
14/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
15/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
16/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
17/4/2020,0.041676179,0.018432428,0.006998844,0.000100205,0.05
18/4/2020,0.024090174,0.022991846,0.00369195,0.00010025,0.05
19/4/2020,0.024090174,0.022991846,0.00369195,0.00010025,0.05
20/4/2020,0.024090174,0.022991846,0.00369195,0.00010025,0.05
