t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
9/3/2020,0.238883397,0.114668141,0.01831591,0.019359322,0.013549496,0.015485074,0.015492674,0.013553411,0.01936767,0.538146618,0.40107836,0.059943562,0.000100071,0.05
10/3/2020,0.238883397,0.114668141,0.01831591,0.019359322,0.013549496,0.015485074,0.015492674,0.013553411,0.01936767,0.538146618,0.40107836,0.059943562,0.000100071,0.05
11/3/2020,0.238883397,0.114668141,0.01831591,0.019359322,0.013549496,0.015485074,0.015492674,0.013553411,0.01936767,0.538146618,0.40107836,0.059943562,0.000100071,0.05
12/3/2020,0.238883397,0.114668141,0.01831591,0.019359322,0.013549496,0.015485074,0.015492674,0.013553411,0.01936767,0.538146618,0.40107836,0.059943562,0.000100071,0.05
13/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
14/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
15/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
16/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
17/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
18/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
19/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
20/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
21/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
22/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
23/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
24/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
25/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
26/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
27/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
28/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
29/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
30/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
31/3/2020,0.157815019,0.047025773,0.005241963,0.022382304,0.014803108,0.016996446,0.01274163,0.011123334,0.014553205,0.688999457,0.261460592,0.04161126,0.000103146,0.05
