t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
3/4/2020,0.061392105,3.01E-05,0.000424493,0.036918624,0.025181011,0.028816532,0.001222275,0.001460262,0.002455954,0.9466583,0.033351598,0.018897681,0.000100093,0.05
4/4/2020,0.061320092,0.000511369,0.000566385,0.063989241,0.044555397,0.051177354,0.00077934,0.000948692,0.001580238,0.957008676,0.032098373,0.017271219,0.00010073,0.05
5/4/2020,0.061320092,0.000511369,0.000566385,0.063989241,0.044555397,0.051177354,0.00077934,0.000948692,0.001580238,0.957008676,0.032098373,0.017271219,0.00010073,0.05
6/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
7/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
8/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
9/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
10/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
11/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
12/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
13/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
14/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
15/4/2020,0.045413887,0.001045667,0.000509277,0.058417605,0.040713424,0.046480474,0.000786684,0.000952682,0.001647234,0.960764559,0.024636711,0.012642043,0.000100147,0.05
