t,beta1,r1,sigma
29/3/2020,0.094469291,0.029740408,0.05
30/3/2020,0.094469291,0.029740408,0.05
31/3/2020,0.094469291,0.029740408,0.05
1/4/2020,0.094469291,0.029740408,0.05
2/4/2020,0.074422991,0.046233575,0.05
3/4/2020,0.074422991,0.046233575,0.05
4/4/2020,0.074422991,0.046233575,0.05
5/4/2020,0.074422991,0.046233575,0.05
6/4/2020,0.074422991,0.046233575,0.05
7/4/2020,0.074422991,0.046233575,0.05
8/4/2020,0.074422991,0.046233575,0.05
9/4/2020,0.074422991,0.046233575,0.05
10/4/2020,0.040935704,0.059012474,0.05
11/4/2020,0.040935704,0.059012474,0.05
12/4/2020,0.040935704,0.059012474,0.05
13/4/2020,0.040935704,0.059012474,0.05
14/4/2020,0.040935704,0.059012474,0.05
15/4/2020,0.040935704,0.059012474,0.05
16/4/2020,0.040935704,0.059012474,0.05
17/4/2020,0.040935704,0.059012474,0.05
18/4/2020,0.040935704,0.059012474,0.05
19/4/2020,0.040935704,0.059012474,0.05
20/4/2020,0.040935704,0.059012474,0.05
21/4/2020,0.040935704,0.059012474,0.05
22/4/2020,0.040935704,0.059012474,0.05
23/4/2020,0.040935704,0.059012474,0.05
24/4/2020,0.040935704,0.059012474,0.05
25/4/2020,0.040935704,0.059012474,0.05
26/4/2020,0.040935704,0.059012474,0.05
27/4/2020,0.040935704,0.059012474,0.05
28/4/2020,0.040935704,0.059012474,0.05
29/4/2020,0.040935704,0.059012474,0.05
30/4/2020,0.040935704,0.059012474,0.05
1/5/2020,0.040935704,0.059012474,0.05
2/5/2020,0.042509063,0.049961128,0.05
3/5/2020,0.042509063,0.049961128,0.05
4/5/2020,0.042509063,0.049961128,0.05
5/5/2020,0.042509063,0.049961128,0.05
6/5/2020,0.042509063,0.049961128,0.05
7/5/2020,0.042509063,0.049961128,0.05
8/5/2020,0.042509063,0.049961128,0.05
9/5/2020,0.042509063,0.049961128,0.05
10/5/2020,0.028516043,0.054272555,0.05
11/5/2020,0.028516043,0.054272555,0.05
12/5/2020,0.028516043,0.054272555,0.05
13/5/2020,0.028516043,0.054272555,0.05
14/5/2020,0.028516043,0.054272555,0.05
15/5/2020,0.028516043,0.054272555,0.05
16/5/2020,0.028516043,0.054272555,0.05
17/5/2020,0.028516043,0.054272555,0.05
18/5/2020,0.028516043,0.054272555,0.05
19/5/2020,0.028516043,0.054272555,0.05
20/5/2020,0.028516043,0.054272555,0.05
21/5/2020,0.028516043,0.054272555,0.05
22/5/2020,0.028516043,0.054272555,0.05
23/5/2020,0.028516043,0.054272555,0.05
24/5/2020,0.028516043,0.054272555,0.05
25/5/2020,0.060476925,0.044434756,0.05
26/5/2020,0.060476925,0.044434756,0.05
27/5/2020,0.060476925,0.044434756,0.05
28/5/2020,0.060476925,0.044434756,0.05
29/5/2020,0.060476925,0.044434756,0.05
30/5/2020,0.060476925,0.044434756,0.05
31/5/2020,0.060476925,0.044434756,0.05
1/6/2020,0.047022778,0.036493345,0.05
2/6/2020,0.047022778,0.036493345,0.05
3/6/2020,0.047022778,0.036493345,0.05
4/6/2020,0.047022778,0.036493345,0.05
5/6/2020,0.047022778,0.036493345,0.05
6/6/2020,0.047022778,0.036493345,0.05
7/6/2020,0.047022778,0.036493345,0.05
8/6/2020,0.047022778,0.036493345,0.05
9/6/2020,0.047022778,0.036493345,0.05
10/6/2020,0.047022778,0.036493345,0.05
11/6/2020,0.047022778,0.036493345,0.05
12/6/2020,0.025581891,0.144962161,0.05
13/6/2020,0.025581891,0.144962161,0.05
14/6/2020,0.025581891,0.144962161,0.05
15/6/2020,0.025581891,0.144962161,0.05
16/6/2020,0.025581891,0.144962161,0.05
17/6/2020,0.025581891,0.144962161,0.05
18/6/2020,0.025581891,0.144962161,0.05
19/6/2020,0.025581891,0.144962161,0.05
20/6/2020,0.025581891,0.144962161,0.05
21/6/2020,0.025581891,0.144962161,0.05
22/6/2020,0.025581891,0.144962161,0.05
23/6/2020,0.025581891,0.144962161,0.05
24/6/2020,0.025581891,0.144962161,0.05
25/6/2020,0.04388905,0.129940087,0.05
26/6/2020,0.04388905,0.129940087,0.05
27/6/2020,0.04388905,0.129940087,0.05
28/6/2020,0.04388905,0.129940087,0.05
29/6/2020,0.04388905,0.129940087,0.05
30/6/2020,0.04388905,0.129940087,0.05
1/7/2020,0.04388905,0.129940087,0.05
2/7/2020,0.04388905,0.129940087,0.05
3/7/2020,0.04388905,0.129940087,0.05
4/7/2020,0.04388905,0.129940087,0.05
5/7/2020,0.04388905,0.129940087,0.05
6/7/2020,0.04388905,0.129940087,0.05
7/7/2020,0.04388905,0.129940087,0.05
8/7/2020,0.04388905,0.129940087,0.05
9/7/2020,0.04388905,0.129940087,0.05
10/7/2020,0.1068036,0.084078511,0.05
11/7/2020,0.1068036,0.084078511,0.05
12/7/2020,0.1068036,0.084078511,0.05
13/7/2020,0.1068036,0.084078511,0.05
14/7/2020,0.1068036,0.084078511,0.05
15/7/2020,0.1068036,0.084078511,0.05
16/7/2020,0.1068036,0.084078511,0.05
17/7/2020,0.1068036,0.084078511,0.05
18/7/2020,0.1068036,0.084078511,0.05
19/7/2020,0.1068036,0.084078511,0.05
20/7/2020,0.1068036,0.084078511,0.05
21/7/2020,0.1068036,0.084078511,0.05
22/7/2020,0.105089029,0.050425526,0.05
23/7/2020,0.105089029,0.050425526,0.05
24/7/2020,0.105089029,0.050425526,0.05
25/7/2020,0.105089029,0.050425526,0.05
26/7/2020,0.105089029,0.050425526,0.05
27/7/2020,0.105089029,0.050425526,0.05
28/7/2020,0.105089029,0.050425526,0.05
29/7/2020,0.105089029,0.050425526,0.05
30/7/2020,0.105089029,0.050425526,0.05
31/7/2020,0.105089029,0.050425526,0.05
1/8/2020,0.105089029,0.050425526,0.05
2/8/2020,0.105089029,0.050425526,0.05
3/8/2020,0.105089029,0.050425526,0.05
4/8/2020,0.064385216,0.070461394,0.05
5/8/2020,0.064385216,0.070461394,0.05
6/8/2020,0.064385216,0.070461394,0.05
7/8/2020,0.064385216,0.070461394,0.05
8/8/2020,0.064385216,0.070461394,0.05
9/8/2020,0.064385216,0.070461394,0.05
10/8/2020,0.064385216,0.070461394,0.05
11/8/2020,0.064385216,0.070461394,0.05
12/8/2020,0.064385216,0.070461394,0.05
13/8/2020,0.064385216,0.070461394,0.05
14/8/2020,0.064385216,0.070461394,0.05
15/8/2020,0.085663224,0.066232489,0.05
16/8/2020,0.085663224,0.066232489,0.05
17/8/2020,0.085663224,0.066232489,0.05
18/8/2020,0.085663224,0.066232489,0.05
19/8/2020,0.085663224,0.066232489,0.05
20/8/2020,0.085663224,0.066232489,0.05
21/8/2020,0.085663224,0.066232489,0.05
22/8/2020,0.050728159,0.055100888,0.05
23/8/2020,0.050728159,0.055100888,0.05
24/8/2020,0.050728159,0.055100888,0.05
25/8/2020,0.050728159,0.055100888,0.05
26/8/2020,0.050728159,0.055100888,0.05
27/8/2020,0.050728159,0.055100888,0.05
28/8/2020,0.050728159,0.055100888,0.05
29/8/2020,0.08891364,0.07585771,0.05
30/8/2020,0.08891364,0.07585771,0.05
31/8/2020,0.08891364,0.07585771,0.05
1/9/2020,0.08891364,0.07585771,0.05
2/9/2020,0.08891364,0.07585771,0.05
3/9/2020,0.08891364,0.07585771,0.05
4/9/2020,0.08891364,0.07585771,0.05
5/9/2020,0.08891364,0.07585771,0.05
6/9/2020,0.08891364,0.07585771,0.05
7/9/2020,0.08891364,0.07585771,0.05
8/9/2020,0.08891364,0.07585771,0.05
9/9/2020,0.08891364,0.07585771,0.05
10/9/2020,0.08891364,0.07585771,0.05
11/9/2020,0.155918083,0.035167651,0.05
12/9/2020,0.155918083,0.035167651,0.05
13/9/2020,0.155918083,0.035167651,0.05
14/9/2020,0.155918083,0.035167651,0.05
15/9/2020,0.155918083,0.035167651,0.05
16/9/2020,0.155918083,0.035167651,0.05
17/9/2020,0.155918083,0.035167651,0.05
18/9/2020,0.155918083,0.035167651,0.05
19/9/2020,0.155918083,0.035167651,0.05
20/9/2020,0.119503224,0.066413548,0.05
21/9/2020,0.119503224,0.066413548,0.05
22/9/2020,0.119503224,0.066413548,0.05
23/9/2020,0.119503224,0.066413548,0.05
24/9/2020,0.119503224,0.066413548,0.05
25/9/2020,0.119503224,0.066413548,0.05
26/9/2020,0.119503224,0.066413548,0.05
27/9/2020,0.119503224,0.066413548,0.05
28/9/2020,0.119503224,0.066413548,0.05
29/9/2020,0.119503224,0.066413548,0.05
30/9/2020,0.119503224,0.066413548,0.05
1/10/2020,0.119503224,0.066413548,0.05
2/10/2020,0.119503224,0.066413548,0.05
3/10/2020,0.119503224,0.066413548,0.05
4/10/2020,0.119503224,0.066413548,0.05
5/10/2020,0.119503224,0.066413548,0.05
6/10/2020,0.13758825,0.046278055,0.05
7/10/2020,0.13758825,0.046278055,0.05
8/10/2020,0.13758825,0.046278055,0.05
9/10/2020,0.13758825,0.046278055,0.05
10/10/2020,0.13758825,0.046278055,0.05
11/10/2020,0.13758825,0.046278055,0.05
12/10/2020,0.13758825,0.046278055,0.05
13/10/2020,0.13758825,0.046278055,0.05
14/10/2020,0.13758825,0.046278055,0.05
15/10/2020,0.13758825,0.046278055,0.05
16/10/2020,0.13758825,0.046278055,0.05
17/10/2020,0.13758825,0.046278055,0.05
18/10/2020,0.13758825,0.046278055,0.05
19/10/2020,0.13758825,0.046278055,0.05
20/10/2020,0.13758825,0.046278055,0.05
21/10/2020,0.13758825,0.046278055,0.05
22/10/2020,0.106774745,0.069868338,0.05
23/10/2020,0.106774745,0.069868338,0.05
24/10/2020,0.106774745,0.069868338,0.05
25/10/2020,0.106774745,0.069868338,0.05
26/10/2020,0.106774745,0.069868338,0.05
27/10/2020,0.106774745,0.069868338,0.05
28/10/2020,0.106774745,0.069868338,0.05
29/10/2020,0.106774745,0.069868338,0.05
30/10/2020,0.106774745,0.069868338,0.05
31/10/2020,0.106774745,0.069868338,0.05
1/11/2020,0.086491984,0.083504056,0.05
2/11/2020,0.086491984,0.083504056,0.05
3/11/2020,0.086491984,0.083504056,0.05
4/11/2020,0.086491984,0.083504056,0.05
5/11/2020,0.086491984,0.083504056,0.05
6/11/2020,0.086491984,0.083504056,0.05
7/11/2020,0.086491984,0.083504056,0.05
8/11/2020,0.108477962,0.084376154,0.05
9/11/2020,0.108477962,0.084376154,0.05
10/11/2020,0.108477962,0.084376154,0.05
11/11/2020,0.108477962,0.084376154,0.05
12/11/2020,0.108477962,0.084376154,0.05
13/11/2020,0.085574999,0.074400041,0.05
14/11/2020,0.085574999,0.074400041,0.05
15/11/2020,0.085574999,0.074400041,0.05
16/11/2020,0.085574999,0.074400041,0.05
17/11/2020,0.08790017,0.079001789,0.05
18/11/2020,0.08790017,0.079001789,0.05
19/11/2020,0.08790017,0.079001789,0.05
20/11/2020,0.08790017,0.079001789,0.05
21/11/2020,0.08790017,0.079001789,0.05
22/11/2020,0.08790017,0.079001789,0.05
23/11/2020,0.08790017,0.079001789,0.05
24/11/2020,0.08790017,0.079001789,0.05
25/11/2020,0.08790017,0.079001789,0.05
26/11/2020,0.08790017,0.079001789,0.05
27/11/2020,0.106248767,0.124315472,0.05
28/11/2020,0.106248767,0.124315472,0.05
29/11/2020,0.106248767,0.124315472,0.05
30/11/2020,0.106248767,0.124315472,0.05
1/12/2020,0.106248767,0.124315472,0.05
2/12/2020,0.106248767,0.124315472,0.05
3/12/2020,0.106248767,0.124315472,0.05
4/12/2020,0.106248767,0.124315472,0.05
5/12/2020,0.106248767,0.124315472,0.05
6/12/2020,0.106248767,0.124315472,0.05
7/12/2020,0.106248767,0.124315472,0.05
8/12/2020,0.116506014,0.102866082,0.05
9/12/2020,0.116506014,0.102866082,0.05
10/12/2020,0.116480539,0.090736536,0.05
11/12/2020,0.116480539,0.090736536,0.05
12/12/2020,0.116480539,0.090736536,0.05
13/12/2020,0.116480539,0.090736536,0.05
14/12/2020,0.116480539,0.090736536,0.05
15/12/2020,0.116480539,0.090736536,0.05
16/12/2020,0.116480539,0.090736536,0.05
17/12/2020,0.116480539,0.090736536,0.05
18/12/2020,0.116480539,0.090736536,0.05
19/12/2020,0.116480539,0.090736536,0.05
20/12/2020,0.116480539,0.090736536,0.05
21/12/2020,0.116480539,0.090736536,0.05
22/12/2020,0.116480539,0.090736536,0.05
23/12/2020,0.116480539,0.090736536,0.05
24/12/2020,0.116480539,0.090736536,0.05
25/12/2020,0.088858101,0.05302329,0.05
26/12/2020,0.088858101,0.05302329,0.05
27/12/2020,0.088858101,0.05302329,0.05
28/12/2020,0.088858101,0.05302329,0.05
29/12/2020,0.088858101,0.05302329,0.05
30/12/2020,0.088858101,0.05302329,0.05
31/12/2020,0.088858101,0.05302329,0.05
1/1/2021,0.088858101,0.05302329,0.05
2/1/2021,0.088858101,0.05302329,0.05
3/1/2021,0.096323743,0.086313052,0.05
4/1/2021,0.096323743,0.086313052,0.05
5/1/2021,0.096323743,0.086313052,0.05
6/1/2021,0.096323743,0.086313052,0.05
7/1/2021,0.096323743,0.086313052,0.05
8/1/2021,0.096323743,0.086313052,0.05
9/1/2021,0.096323743,0.086313052,0.05
10/1/2021,0.096323743,0.086313052,0.05
11/1/2021,0.096323743,0.086313052,0.05
12/1/2021,0.097094743,0.055655168,0.05
13/1/2021,0.097094743,0.055655168,0.05
