t,beta1,r1,d1,gamma,sigma
29/3/2020,0.072407345,0.045629374,0.001424913,1.00E-10,0.05
30/3/2020,0.072407345,0.045629374,0.001424913,1.00E-10,0.05
31/3/2020,0.072407345,0.045629374,0.001424913,1.00E-10,0.05
1/4/2020,0.072407345,0.045629374,0.001424913,1.00E-10,0.05
2/4/2020,0.072407345,0.045629374,0.001424913,1.00E-10,0.05
3/4/2020,0.072407345,0.045629374,0.001424913,1.00E-10,0.05
4/4/2020,0.072407345,0.045629374,0.001424913,1.00E-10,0.05
5/4/2020,0.072407345,0.045629374,0.001424913,1.00E-10,0.05
6/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
7/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
8/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
9/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
10/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
11/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
12/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
13/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
14/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
15/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
16/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
17/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
18/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
19/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
20/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
21/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
22/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
23/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
24/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
25/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
26/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
27/4/2020,0.039597937,0.059707083,0.000720257,9.94E-11,0.05
28/4/2020,0.042491775,0.047688272,0.000503822,1.01E-10,0.05
29/4/2020,0.042491775,0.047688272,0.000503822,1.01E-10,0.05
30/4/2020,0.042491775,0.047688272,0.000503822,1.01E-10,0.05
1/5/2020,0.042491775,0.047688272,0.000503822,1.01E-10,0.05
2/5/2020,0.042491775,0.047688272,0.000503822,1.01E-10,0.05
3/5/2020,0.042491775,0.047688272,0.000503822,1.01E-10,0.05
4/5/2020,0.042491775,0.047688272,0.000503822,1.01E-10,0.05
5/5/2020,0.042491775,0.047688272,0.000503822,1.01E-10,0.05
6/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
7/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
8/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
9/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
10/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
11/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
12/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
13/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
14/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
15/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
16/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
17/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
18/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
19/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
20/5/2020,0.030380304,0.052214916,0.000387351,1.00E-10,0.05
21/5/2020,0.066684378,0.043265911,9.77E-05,1.02E-10,0.05
22/5/2020,0.066684378,0.043265911,9.77E-05,1.02E-10,0.05
23/5/2020,0.066684378,0.043265911,9.77E-05,1.02E-10,0.05
24/5/2020,0.066684378,0.043265911,9.77E-05,1.02E-10,0.05
25/5/2020,0.066684378,0.043265911,9.77E-05,1.02E-10,0.05
26/5/2020,0.066684378,0.043265911,9.77E-05,1.02E-10,0.05
27/5/2020,0.066684378,0.043265911,9.77E-05,1.02E-10,0.05
28/5/2020,0.048293725,0.03430339,0.000129564,1.00E-10,0.05
29/5/2020,0.048293725,0.03430339,0.000129564,1.00E-10,0.05
