t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
3/4/2020,0.061771012,2.94E-05,0.000430082,0.036234501,0.025154058,0.029057678,9.84E-04,8.63E-04,0.001231497,0.949147567,0.033368456,0.018876831,1.00E-04,0.05
4/4/2020,0.061427476,0.000503354,0.000568924,0.064224344,0.042523323,0.051388778,6.25E-04,5.56E-04,0.000795391,0.958663828,0.032319238,0.017427828,1.01E-04,0.05
5/4/2020,0.061427476,0.000503354,0.000568924,0.064224344,0.042523323,0.051388778,6.25E-04,5.56E-04,0.000795391,0.958663828,0.032319238,0.017427828,1.01E-04,0.05
6/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
7/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
8/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
9/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
10/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
11/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
12/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
13/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
14/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
15/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
16/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
17/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
18/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
19/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
20/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
21/4/2020,0.044169313,0.00105057,0.000510181,0.058285182,0.041906831,0.046609371,6.34E-04,5.50E-04,0.000793706,0.964855787,0.024884142,0.012681353,1.01E-04,0.05
22/4/2020,0.02979311,0.000272904,0.000683267,0.052663552,0.036867688,0.042123549,4.15E-04,3.63E-04,0.000519102,0.969581286,0.020326103,0.010074672,1.00E-04,0.05
23/4/2020,0.02979311,0.000272904,0.000683267,0.052663552,0.036867688,0.042123549,0.000415214,0.000363334,0.000519102,0.969581286,0.020326103,0.010074672,0.0001,0.05
24/4/2020,0.02979311,0.000272904,0.000683267,0.052663552,0.036867688,0.042123549,0.000415214,0.000363334,0.000519102,0.969581286,0.020326103,0.010074672,0.0001,0.05
25/4/2020,0.02979311,0.000272904,0.000683267,0.052663552,0.036867688,0.042123549,0.000415214,0.000363334,0.000519102,0.969581286,0.020326103,0.010074672,0.0001,0.05
26/4/2020,0.02979311,0.000272904,0.000683267,0.052663552,0.036867688,0.042123549,0.000415214,0.000363334,0.000519102,0.969581286,0.020326103,0.010074672,0.0001,0.05
27/4/2020,0.037498992,0.001077666,0.000569272,0.047470841,0.034785958,0.037946735,0.000387496,0.000339316,0.000485034,0.978367127,0.01462679,0.00744806,1.00E-04,0.05
28/4/2020,0.037498992,0.001077666,0.000569272,0.047470841,0.034785958,0.037946735,0.000387496,0.000339316,0.000485034,0.978367127,0.01462679,0.00744806,1.00E-04,0.05
29/4/2020,0.037498992,0.001077666,0.000569272,0.047470841,0.034785958,0.037946735,0.000387496,0.000339316,0.000485034,0.978367127,0.01462679,0.00744806,1.00E-04,0.05
30/4/2020,0.037498992,0.001077666,0.000569272,0.047470841,0.034785958,0.037946735,0.000387496,0.000339316,0.000485034,0.978367127,0.01462679,0.00744806,1.00E-04,0.05
1/5/2020,0.037498992,0.001077666,0.000569272,0.047470841,0.034785958,0.037946735,0.000387496,0.000339316,0.000485034,0.978367127,0.01462679,0.00744806,1.00E-04,0.05
2/5/2020,0.037498992,0.001077666,0.000569272,0.047470841,0.034785958,0.037946735,0.000387496,0.000339316,0.000485034,0.978367127,0.01462679,0.00744806,1.00E-04,0.05
3/5/2020,0.037498992,0.001077666,0.000569272,0.047470841,0.034785958,0.037946735,0.000387496,0.000339316,0.000485034,0.978367127,0.01462679,0.00744806,1.00E-04,0.05
4/5/2020,0.037498992,0.001077666,0.000569272,0.047470841,0.034785958,0.037946735,0.000387496,0.000339316,0.000485034,0.978367127,0.01462679,0.00744806,1.00E-04,0.05
