t,beta1,r1,d1,gamma,sigma
29/3/2020,0.095713755,0.025471238,0.002508712,1.05E-10,0.05
30/3/2020,0.095713755,0.025471238,0.002508712,1.05E-10,0.05
31/3/2020,0.095713755,0.025471238,0.002508712,1.05E-10,0.05
1/4/2020,0.095713755,0.025471238,0.002508712,1.05E-10,0.05
2/4/2020,0.073361196,0.046205413,0.001406863,1.04E-10,0.05
3/4/2020,0.073361196,0.046205413,0.001406863,1.04E-10,0.05
4/4/2020,0.073361196,0.046205413,0.001406863,1.04E-10,0.05
5/4/2020,0.073361196,0.046205413,0.001406863,1.04E-10,0.05
6/4/2020,0.073361196,0.046205413,0.001406863,1.04E-10,0.05
7/4/2020,0.073361196,0.046205413,0.001406863,1.04E-10,0.05
8/4/2020,0.073361196,0.046205413,0.001406863,1.04E-10,0.05
9/4/2020,0.073361196,0.046205413,0.001406863,1.04E-10,0.05
10/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
11/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
12/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
13/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
14/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
15/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
16/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
17/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
18/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
19/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
20/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
21/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
22/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
23/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
24/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
25/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
26/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
27/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
28/4/2020,0.03840412,0.061228966,0.000762396,1.02E-10,0.05
