t,beta1,r1,d1,gamma,sigma
5/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
6/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
7/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
8/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
9/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
10/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
11/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
12/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
13/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
14/4/2020,0.098065151,0.02522266,0.013831066,9.63E-05,0.05
15/4/2020,0.113336111,0.007164016,0.016882516,0.000103074,0.05
16/4/2020,0.113336111,0.007164016,0.016882516,0.000103074,0.05
17/4/2020,0.113336111,0.007164016,0.016882516,0.000103074,0.05
18/4/2020,0.113336111,0.007164016,0.016882516,0.000103074,0.05
19/4/2020,0.113336111,0.007164016,0.016882516,0.000103074,0.05
20/4/2020,0.113336111,0.007164016,0.016882516,0.000103074,0.05
21/4/2020,0.113336111,0.007164016,0.016882516,0.000103074,0.05
22/4/2020,0.113336111,0.007164016,0.016882516,0.000103074,0.05
23/4/2020,0.128128257,0.101075123,0.023483583,9.93E-05,0.05
24/4/2020,0.128128257,0.101075123,0.023483583,9.93E-05,0.05
25/4/2020,0.128128257,0.101075123,0.023483583,9.93E-05,0.05
26/4/2020,0.128128257,0.101075123,0.023483583,9.93E-05,0.05
27/4/2020,0.128128257,0.101075123,0.023483583,9.93E-05,0.05
28/4/2020,0.128128257,0.101075123,0.023483583,9.93E-05,0.05
29/4/2020,0.128128257,0.101075123,0.023483583,9.93E-05,0.05
30/4/2020,0.112154216,0.06667015,0.025849165,9.81E-05,0.05
1/5/2020,0.112154216,0.06667015,0.025849165,9.81E-05,0.05
2/5/2020,0.112154216,0.06667015,0.025849165,9.81E-05,0.05
3/5/2020,0.112154216,0.06667015,0.025849165,9.81E-05,0.05
4/5/2020,0.112154216,0.06667015,0.025849165,9.81E-05,0.05
5/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
6/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
7/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
8/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
9/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
10/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
11/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
12/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
13/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
14/5/2020,0.13694129,0.076219329,0.024941775,0.000101576,0.05
15/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
16/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
17/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
18/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
19/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
20/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
21/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
22/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
23/5/2020,0.137182963,0.075283039,0.023148619,9.86E-05,0.05
24/5/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
25/5/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
26/5/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
27/5/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
28/5/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
29/5/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
30/5/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
31/5/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
1/6/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
2/6/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
3/6/2020,0.11583437,0.078843624,0.018545239,0.000101194,0.05
4/6/2020,0.10284831,0.078207098,0.016104983,1.00E-04,0.05
5/6/2020,0.10284831,0.078207098,0.016104983,1.00E-04,0.05
6/6/2020,0.10284831,0.078207098,0.016104983,1.00E-04,0.05
