t,beta1,r1,d1,gamma,sigma
5/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
6/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
7/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
8/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
9/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
10/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
11/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
12/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
13/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
14/4/2020,0.099827155,0.025170989,0.01437748,0.00010359,0.05
15/4/2020,0.107448467,0.007194207,0.016485601,0.000104706,0.05
16/4/2020,0.107448467,0.007194207,0.016485601,0.000104706,0.05
17/4/2020,0.107448467,0.007194207,0.016485601,0.000104706,0.05
18/4/2020,0.107448467,0.007194207,0.016485601,0.000104706,0.05
19/4/2020,0.107448467,0.007194207,0.016485601,0.000104706,0.05
20/4/2020,0.107448467,0.007194207,0.016485601,0.000104706,0.05
21/4/2020,0.107448467,0.007194207,0.016485601,0.000104706,0.05
22/4/2020,0.107448467,0.007194207,0.016485601,0.000104706,0.05
23/4/2020,0.128665751,0.102130343,0.022742632,0.000105764,0.05
24/4/2020,0.128665751,0.102130343,0.022742632,0.000105764,0.05
25/4/2020,0.128665751,0.102130343,0.022742632,0.000105764,0.05
26/4/2020,0.128665751,0.102130343,0.022742632,0.000105764,0.05
27/4/2020,0.128665751,0.102130343,0.022742632,0.000105764,0.05
28/4/2020,0.128665751,0.102130343,0.022742632,0.000105764,0.05
29/4/2020,0.128665751,0.102130343,0.022742632,0.000105764,0.05
30/4/2020,0.109063325,0.068141555,0.025393246,9.81E-05,0.05
1/5/2020,0.109063325,0.068141555,0.025393246,9.81E-05,0.05
2/5/2020,0.109063325,0.068141555,0.025393246,9.81E-05,0.05
3/5/2020,0.109063325,0.068141555,0.025393246,9.81E-05,0.05
4/5/2020,0.109063325,0.068141555,0.025393246,9.81E-05,0.05
5/5/2020,0.139015992,0.076667085,0.025402791,0.000100434,0.05
6/5/2020,0.139015992,0.076667085,0.025402791,0.000100434,0.05
