t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
1/4/2020,0.056874211,0.003313553,0.000759472,0.005651756,0.003956229,0.004521405,0.000125,2.97E-14,6.91E-14,0.913205538,0.077742279,0.009052183,0.0001025,0.05
2/4/2020,0.056874211,0.003313553,0.000759472,0.005651756,0.003956229,0.004521405,0.000125,2.97E-14,6.91E-14,0.913205538,0.077742279,0.009052183,0.0001025,0.05
3/4/2020,0.056874211,0.003313553,0.000759472,0.005651756,0.003956229,0.004521405,0.000125,2.97E-14,6.91E-14,0.913205538,0.077742279,0.009052183,0.0001025,0.05
4/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
5/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
6/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
7/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
8/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
9/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
10/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
11/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
12/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
13/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
14/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
15/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
16/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
17/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
18/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
19/4/2020,0.058950685,0.00140909,0.000283588,0.019340952,0.013541879,0.015538008,0.001044281,0.001219672,0.002092599,0.950616405,0.060369767,0.008623608,9.98E-05,0.05
