t,beta1,r1,d1,gamma,sigma
28/3/2020,0.073751012,0.003851376,0.000494172,9.84E-05,0.05
29/3/2020,0.073751012,0.003851376,0.000494172,9.84E-05,0.05
30/3/2020,0.073751012,0.003851376,0.000494172,9.84E-05,0.05
31/3/2020,0.073751012,0.003851376,0.000494172,9.84E-05,0.05
1/4/2020,0.073751012,0.003851376,0.000494172,9.84E-05,0.05
2/4/2020,0.073751012,0.003851376,0.000494172,9.84E-05,0.05
3/4/2020,0.061175473,0.003000701,0.000314089,0.00010941,0.05
4/4/2020,0.061175473,0.003000701,0.000314089,0.00010941,0.05
5/4/2020,0.061175473,0.003000701,0.000314089,0.00010941,0.05
6/4/2020,0.061175473,0.003000701,0.000314089,0.00010941,0.05
7/4/2020,0.061175473,0.003000701,0.000314089,0.00010941,0.05
8/4/2020,0.061175473,0.003000701,0.000314089,0.00010941,0.05
9/4/2020,0.061175473,0.003000701,0.000314089,0.00010941,0.05
10/4/2020,0.043174934,0.035904939,0.00115589,0.00010028,0.05
11/4/2020,0.043174934,0.035904939,0.00115589,0.00010028,0.05
12/4/2020,0.043174934,0.035904939,0.00115589,0.00010028,0.05
13/4/2020,0.043174934,0.035904939,0.00115589,0.00010028,0.05
14/4/2020,0.043174934,0.035904939,0.00115589,0.00010028,0.05
15/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
16/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
17/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
18/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
19/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
20/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
21/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
22/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
23/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
24/4/2020,0.059537902,0.026730223,0.001299893,9.85E-05,0.05
25/4/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
26/4/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
27/4/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
28/4/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
29/4/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
30/4/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
1/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
2/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
3/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
4/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
5/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
6/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
7/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
8/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
9/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
10/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
11/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
12/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
13/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
14/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
15/5/2020,0.009714154,0.063724511,0.000744206,9.82E-05,0.05
16/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
17/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
18/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
19/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
20/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
21/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
22/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
23/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
24/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
25/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
26/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
27/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
28/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
29/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
30/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
31/5/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
1/6/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
2/6/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
3/6/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
4/6/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
5/6/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
6/6/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
7/6/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
8/6/2020,0.009507711,0.055486923,0.000250689,9.95E-05,0.05
9/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
10/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
11/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
12/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
13/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
14/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
15/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
16/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
17/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
18/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
19/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
20/6/2020,0.046658724,0.037001077,7.00E-05,0.0001014,0.05
21/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
22/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
23/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
24/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
25/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
26/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
27/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
28/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
29/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
30/6/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
1/7/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
2/7/2020,0.069914206,0.010517892,6.05E-05,0.000101498,0.05
3/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
4/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
5/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
6/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
7/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
8/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
9/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
10/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
11/7/2020,0.064159013,0.00973691,0.000209996,0.0001042,0.05
12/7/2020,0.02485414,0.014632247,7.53E-07,0.000100047,0.05
13/7/2020,0.02485414,0.014632247,7.53E-07,0.000100047,0.05
14/7/2020,0.02485414,0.014632247,7.53E-07,0.000100047,0.05
15/7/2020,0.02485414,0.014632247,7.53E-07,0.000100047,0.05
16/7/2020,0.02485414,0.014632247,7.53E-07,0.000100047,0.05
17/7/2020,0.02485414,0.014632247,7.53E-07,0.000100047,0.05
18/7/2020,0.02485414,0.014632247,7.53E-07,0.000100047,0.05
19/7/2020,0.02485414,0.014632247,7.53E-07,0.000100047,0.05
20/7/2020,0.058811888,0.021511391,0.000175,0.000101,0.05
21/7/2020,0.058811888,0.021511391,0.000175,0.000101,0.05
22/7/2020,0.058811888,0.021511391,0.000175,0.000101,0.05
23/7/2020,0.058811888,0.021511391,0.000175,0.000101,0.05
24/7/2020,0.058811888,0.021511391,0.000175,0.000101,0.05
25/7/2020,0.058811888,0.021511391,0.000175,0.000101,0.05
26/7/2020,0.058811888,0.021511391,0.000175,0.000101,0.05
27/7/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
28/7/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
29/7/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
30/7/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
31/7/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
1/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
2/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
3/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
4/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
5/8/2020,0.055254579,0.036512552,0.000177936,0.0001,0.05
6/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
7/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
8/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
9/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
10/8/2020,0.050086353,0.019423842,0.000293252,0.000103148,0.05
