t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
1/4/2020,0.057077333,0.003325387,0.000762185,0.005672294,0.003970606,0.004537835,1.79E-05,1.79E-05,1.79E-05,0.916466986,0.07801993,0.009310817,0.000100357,0.05
2/4/2020,0.057077333,0.003325387,0.000762185,0.005672294,0.003970606,0.004537835,1.79E-05,1.79E-05,1.79E-05,0.916466986,0.07801993,0.009310817,0.000100357,0.05
3/4/2020,0.057077333,0.003325387,0.000762185,0.005672294,0.003970606,0.004537835,1.79E-05,1.79E-05,1.79E-05,0.916466986,0.07801993,0.009310817,0.000100357,0.05
4/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
5/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
6/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
7/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
8/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
9/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
10/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
11/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
12/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
13/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
14/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
15/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
16/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
17/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
18/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
19/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
20/4/2020,0.060541186,0.001433658,0.000275975,0.01934305,0.013523339,0.015795152,0.000829046,0.000723703,0.00102195,0.937046964,0.061630919,0.008367025,0.000100818,0.05
21/4/2020,0.039419934,0.00113694,0.000367714,0.027498658,0.019249102,0.021998914,0.000647197,0.000566293,0.000808991,0.93991629,0.053294535,0.006782941,0.0001,0.05
22/4/2020,0.039419934,0.00113694,0.000367714,0.027498658,0.019249102,0.021998914,0.000647197,0.000566293,0.000808991,0.93991629,0.053294535,0.006782941,0.0001,0.05
23/4/2020,0.039419934,0.00113694,0.000367714,0.027498658,0.019249102,0.021998914,0.000647197,0.000566293,0.000808991,0.93991629,0.053294535,0.006782941,0.0001,0.05
24/4/2020,0.039419934,0.00113694,0.000367714,0.027498658,0.019249102,0.021998914,0.000647197,0.000566293,0.000808991,0.93991629,0.053294535,0.006782941,0.0001,0.05
25/4/2020,0.039419934,0.00113694,0.000367714,0.027498658,0.019249102,0.021998914,0.000647197,0.000566293,0.000808991,0.93991629,0.053294535,0.006782941,0.0001,0.05
26/4/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
27/4/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
28/4/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
29/4/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
30/4/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
1/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
2/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
3/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
4/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
5/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
6/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
7/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
8/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
9/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
10/5/2020,0.007243267,0.002719017,0.000306694,0.053134292,0.037194004,0.042507434,0.000512237,0.000440188,0.000604164,0.944093058,0.041776425,0.004160998,9.92E-05,0.05
11/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
12/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
13/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
14/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
15/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
16/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
17/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
18/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
19/5/2020,0.011898626,0.001688501,0.00022976,0.082159458,0.059196904,0.065524457,0.000470119,0.000414464,0.000592091,0.951188318,0.043881679,0.00335043,0.000102002,0.05
20/5/2020,0.015708931,0.004570931,1.58E-05,0.063641912,0.045952874,0.050480491,3.14E-06,7.42E-06,1.89E-06,0.948546568,0.047981159,0.004951167,0.000100147,0.05
21/5/2020,0.015708931,0.004570931,1.58E-05,0.063641912,0.045952874,0.050480491,3.14E-06,7.42E-06,1.89E-06,0.948546568,0.047981159,0.004951167,0.000100147,0.05
22/5/2020,0.015708931,0.004570931,1.58E-05,0.063641912,0.045952874,0.050480491,3.14E-06,7.42E-06,1.89E-06,0.948546568,0.047981159,0.004951167,0.000100147,0.05
23/5/2020,0.015708931,0.004570931,1.58E-05,0.063641912,0.045952874,0.050480491,3.14E-06,7.42E-06,1.89E-06,0.948546568,0.047981159,0.004951167,0.000100147,0.05
24/5/2020,0.015708931,0.004570931,1.58E-05,0.063641912,0.045952874,0.050480491,3.14E-06,7.42E-06,1.89E-06,0.948546568,0.047981159,0.004951167,0.000100147,0.05
25/5/2020,0.015708931,0.004570931,1.58E-05,0.063641912,0.045952874,0.050480491,3.14E-06,7.42E-06,1.89E-06,0.948546568,0.047981159,0.004951167,0.000100147,0.05
26/5/2020,0.015708931,0.004570931,1.58E-05,0.063641912,0.045952874,0.050480491,3.14E-06,7.42E-06,1.89E-06,0.948546568,0.047981159,0.004951167,0.000100147,0.05
27/5/2020,0.015708931,0.004570931,1.58E-05,0.063641912,0.045952874,0.050480491,3.14E-06,7.42E-06,1.89E-06,0.948546568,0.047981159,0.004951167,0.000100147,0.05
28/5/2020,0.008622512,0.015530099,0.000689838,0.043227136,0.030258995,0.034581709,4.08E-05,4.08E-05,0.000244898,0.927681901,0.074579399,0.005901967,0.000100816,0.05
29/5/2020,0.008622512,0.015530099,0.000689838,0.043227136,0.030258995,0.034581709,4.08E-05,4.08E-05,0.000244898,0.927681901,0.074579399,0.005901967,0.000100816,0.05
30/5/2020,0.008622512,0.015530099,0.000689838,0.043227136,0.030258995,0.034581709,4.08E-05,4.08E-05,0.000244898,0.927681901,0.074579399,0.005901967,0.000100816,0.05
31/5/2020,0.008622512,0.015530099,0.000689838,0.043227136,0.030258995,0.034581709,4.08E-05,4.08E-05,0.000244898,0.927681901,0.074579399,0.005901967,0.000100816,0.05
1/6/2020,0.008622512,0.015530099,0.000689838,0.043227136,0.030258995,0.034581709,4.08E-05,4.08E-05,0.000244898,0.927681901,0.074579399,0.005901967,0.000100816,0.05
2/6/2020,0.008622512,0.015530099,0.000689838,0.043227136,0.030258995,0.034581709,4.08E-05,4.08E-05,0.000244898,0.927681901,0.074579399,0.005901967,0.000100816,0.05
3/6/2020,0.008622512,0.015530099,0.000689838,0.043227136,0.030258995,0.034581709,4.08E-05,4.08E-05,0.000244898,0.927681901,0.074579399,0.005901967,0.000100816,0.05
