t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
27/4/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
28/4/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
29/4/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
30/4/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
1/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
2/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
3/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
4/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
5/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
6/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
7/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
8/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
9/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
10/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
11/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
12/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
13/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
14/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
15/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
16/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
17/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
18/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
19/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
20/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
21/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
22/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
23/5/2020,0.114843779,0.003691912,0.001076267,0.060195183,0.042653206,0.048701218,0.002067726,0.002487399,0.004180394,0.909822114,0.075783254,0.014126197,9.98E-05,0.05
24/5/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
25/5/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
26/5/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
27/5/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
28/5/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
29/5/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
30/5/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
31/5/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
1/6/2020,0.136607906,0.004976435,0.000653273,0.069362823,0.053082477,0.059731901,0.005639495,0.006695279,0.011191049,0.91812691,0.085675818,0.012340274,0.000101698,0.05
