t,beta1,r1,d1,gamma,sigma
22/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
23/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
24/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
25/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
26/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
27/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
28/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
29/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
30/4/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
1/5/2020,0.090318789,0.053192507,0.002242078,0.000103911,0.05
2/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
3/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
4/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
5/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
6/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
7/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
8/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
9/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
10/5/2020,0.104984553,0.043656973,0.002009596,0.0001,0.05
11/5/2020,0.114836538,0.067325373,0.001741,1.00E-04,0.05
12/5/2020,0.114836538,0.067325373,0.001741,1.00E-04,0.05
13/5/2020,0.114836538,0.067325373,0.001741,1.00E-04,0.05
14/5/2020,0.114836538,0.067325373,0.001741,1.00E-04,0.05
15/5/2020,0.114836538,0.067325373,0.001741,1.00E-04,0.05
16/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
17/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
18/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
19/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
20/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
21/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
22/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
23/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
24/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
25/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
26/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
27/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
28/5/2020,0.117953961,0.075818373,0.002665474,0.000104216,0.05
29/5/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
30/5/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
31/5/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
1/6/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
2/6/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
3/6/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
4/6/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
5/6/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
6/6/2020,0.136505,0.082639202,0.007007552,0.000103487,0.05
