t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
27/4/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
28/4/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
29/4/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
30/4/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
1/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
2/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
3/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
4/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
5/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
6/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
7/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
8/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
9/5/2020,0.114346513,0.00372835,0.001081941,0.059627803,0.042556062,0.048460547,0.001657014,0.001438458,0.002075256,0.918635315,0.075062566,0.014292666,0.000101037,0.05
