t,beta1,r1,d1,gamma,sigma
22/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
23/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
24/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
25/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
26/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
27/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
28/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
29/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
30/4/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
1/5/2020,0.090709256,0.053746398,0.002243604,0.000101489,0.05
2/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
3/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
4/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
5/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
6/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
7/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
8/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
9/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
10/5/2020,0.100677899,0.044876397,0.002118127,0.000100752,0.05
11/5/2020,0.114836538,0.067343592,0.001741,0.0001,0.05
12/5/2020,0.114836538,0.067343592,0.001741,0.0001,0.05
13/5/2020,0.114836538,0.067343592,0.001741,0.0001,0.05
14/5/2020,0.114836538,0.067343592,0.001741,0.0001,0.05
15/5/2020,0.114836538,0.067343592,0.001741,0.0001,0.05
16/5/2020,0.117590586,0.075077889,0.002877532,0.000100246,0.05
17/5/2020,0.117590586,0.075077889,0.002877532,0.000100246,0.05
18/5/2020,0.117590586,0.075077889,0.002877532,0.000100246,0.05
19/5/2020,0.117590586,0.075077889,0.002877532,0.000100246,0.05
20/5/2020,0.117590586,0.075077889,0.002877532,0.000100246,0.05
21/5/2020,0.117590586,0.075077889,0.002877532,0.000100246,0.05
22/5/2020,0.117590586,0.075077889,0.002877532,0.000100246,0.05
