date,cases_recovered,cases_active,deaths_total,icu_covid,vent_covid,susceptible
24/2/2020,1,128,3,127,26,59037340
25/2/2020,1,221,7,150,35,59037243
26/2/2020,3,309,10,164,36,59037150
27/2/2020,45,343,12,304,56,59037072
28/2/2020,46,587,17,409,64,59036822
29/2/2020,46,821,21,506,105,59036584
1/3/2020,83,1016,29,779,140,59036344
2/3/2020,149,1511,34,908,166,59035778
3/3/2020,160,1824,52,1263,229,59035436
4/3/2020,276,2147,79,1641,295,59034970
5/3/2020,414,2568,107,2141,351,59034383
6/3/2020,523,3187,148,2856,462,59033614
7/3/2020,589,3850,197,3218,567,59032836
8/3/2020,622,5028,233,4207,650,59031589
9/3/2020,724,6285,366,5049,733,59030097
10/3/2020,724,7985,463,5915,877,59028300
11/3/2020,1045,8473,631,6866,1028,59027323
12/3/2020,1045,10590,827,7803,1153,59025010
13/3/2020,1439,12658,1016,8754,1328,59022359
14/3/2020,1966,14428,1266,9890,1518,59019812
15/3/2020,2335,17381,1441,11335,1672,59016315
16/3/2020,2749,20189,1809,12876,1851,59012725
17/3/2020,2941,22881,2158,14954,2060,59009492
18/3/2020,4025,24978,2503,16620,2257,59005966
19/3/2020,4440,28295,2978,18255,2498,59001759
20/3/2020,4440,33190,3405,18675,2655,58996437
21/3/2020,6072,36917,4032,20565,2857,58990451
22/3/2020,7024,41729,4825,22855,3009,58983894
23/3/2020,7024,46638,5476,23896,3204,58978334
24/3/2020,8326,49524,6077,25333,3396,58973545
25/3/2020,9362,52994,6820,26601,3489,58968296
26/3/2020,10361,56522,7503,28365,3612,58963086
27/3/2020,10950,61424,8165,29761,3732,58956933
28/3/2020,12384,64980,9134,30532,3856,58950974
29/3/2020,13030,69419,10023,31292,3906,58945000
30/3/2020,14620,72290,10779,31776,3981,58939783
31/3/2020,15729,74419,11591,32215,4023,58935733
1/4/2020,16847,76517,12428,32438,4035,58931680
2/4/2020,18278,79141,13155,32593,4053,58926898
3/4/2020,19758,81569,13915,32809,4068,58922230
4/4/2020,20996,84150,14681,33004,3994,58917645
5/4/2020,21815,87455,15362,32926,3977,58912840
6/4/2020,22837,90224,15887,32874,3898,58908524
7/4/2020,24392,91632,16523,32510,3792,58904925
8/4/2020,26491,91968,17127,32178,3693,58901886
9/4/2020,28470,93283,17669,32004,3605,58898050
10/4/2020,30455,94892,18279,31739,3497,58893846
11/4/2020,32534,96194,18849,31525,3381,58889895
12/4/2020,34211,98592,19468,31190,3343,58885201
13/4/2020,35435,101029,19899,31283,3260,58881109
14/4/2020,37130,101921,20465,31197,3186,58877956
15/4/2020,38092,103329,21067,30722,3079,58874984
16/4/2020,40164,103346,21645,29829,2936,58872317
17/4/2020,42727,104044,22170,28598,2812,58868531
18/4/2020,44927,104762,22745,27740,2733,58865038
19/4/2020,47055,105643,23227,27668,2635,58861547
20/4/2020,48877,106435,23660,27479,2573,58858500
21/4/2020,51600,105514,24114,26605,2471,58856244
22/4/2020,54543,104766,24648,26189,2384,58853515
23/4/2020,57576,104666,25085,25138,2267,58850145
24/4/2020,60498,103926,25549,24241,2173,58847499
