date,cases_recovered,cases_active,deaths_total,susceptible,,,,
23/1/2020,30,526,18,1425887051,,,,
24/1/2020,36,773,26,1425886836,,,,
25/1/2020,39,1216,42,1425886591,,,,
26/1/2020,49,1880,56,1425886479,,,,
27/1/2020,58,2621,82,1425885448,,,,
28/1/2020,101,4301,131,1425885664,,,,
29/1/2020,120,5744,133,1425885368,,,,
30/1/2020,135,7430,171,1425885070,,,,
31/1/2020,214,9293,213,1425884832,,,,
1/2/2020,275,11287,259,1425884236,,,,
2/2/2020,463,13587,361,1425883709,,,,
3/2/2020,614,16199,425,1425883088,,,,
4/2/2020,843,19137,491,1425882134,,,,
5/2/2020,1115,22685,563,1425881985,,,,
6/2/2020,1477,25950,633,1425882099,,,,
7/2/2020,1999,28494,718,1425881256,,,,
8/2/2020,2596,31197,805,1425881306,,,,
9/2/2020,3219,33127,905,1425880252,,,,
10/2/2020,3918,35305,1012,1425879957,,,,
11/2/2020,4636,36960,1112,1425879590,,,,
12/2/2020,5082,38531,1117,1425866009,,,,
13/2/2020,6217,52296,1369,1425875724,,,,
14/2/2020,7977,54434,1521,1425875218,,,,
15/2/2020,9298,55615,1663,1425874391,,,,
16/2/2020,10755,56062,1767,1425872787,,,,
17/2/2020,12462,56308,1865,1425871140,,,,
18/2/2020,14206,56318,2004,1425869400,,,,
19/2/2020,15962,56199,2117,1425868884,,,,
20/2/2020,18014,54422,2239,1425866214,,,,
21/2/2020,18704,54625,2239,1425865592,,,,
22/2/2020,22699,51250,2444,1425861568,,,,
23/2/2020,23187,51409,2446,1425861507,,,,
24/2/2020,25015,49651,2596,1425859232,,,,
25/2/2020,27676,47437,2666,1425856607,,,,
26/2/2020,30084,45388,2718,1425854118,,,,
27/2/2020,32930,42953,2747,1425851354,,,,
28/2/2020,36329,39839,2791,1425847810,,,,
29/2/2020,39320,37231,2838,1425844623,,,,
1/3/2020,42162,34933,2873,1425842119,,,,
2/3/2020,44854,32405,2915,1425839463,,,,
3/3/2020,47450,29904,2948,1425836842,,,,
4/3/2020,50001,27437,2984,1425834232,,,,
5/3/2020,52292,25257,3016,1425831907,,,,
