date,cases_recovered,cases_active,deaths_total,susceptible
24/2/2020,1,128,3,59037340
25/2/2020,1,221,7,59037243
26/2/2020,3,309,10,59037150
27/2/2020,45,343,12,59037072
28/2/2020,46,587,17,59036822
29/2/2020,46,821,21,59036584
1/3/2020,83,1016,29,59036344
2/3/2020,149,1511,34,59035778
3/3/2020,160,1824,52,59035436
4/3/2020,276,2147,79,59034970
5/3/2020,414,2568,107,59034383
6/3/2020,523,3187,148,59033614
7/3/2020,589,3850,197,59032836
8/3/2020,622,5028,233,59031589
9/3/2020,724,6285,366,59030097
10/3/2020,724,7985,463,59028300
11/3/2020,1045,8473,631,59027323
12/3/2020,1045,10590,827,59025010
13/3/2020,1439,12658,1016,59022359
14/3/2020,1966,14428,1266,59019812
15/3/2020,2335,17381,1441,59016315
16/3/2020,2749,20189,1809,59012725
17/3/2020,2941,22881,2158,59009492
18/3/2020,4025,24978,2503,59005966
19/3/2020,4440,28295,2978,59001759
20/3/2020,4440,33190,3405,58996437
21/3/2020,6072,36917,4032,58990451
22/3/2020,7024,41729,4825,58983894
23/3/2020,7024,46638,5476,58978334
24/3/2020,8326,49524,6077,58973545
25/3/2020,9362,52994,6820,58968296
26/3/2020,10361,56522,7503,58963086
27/3/2020,10950,61424,8165,58956933
28/3/2020,12384,64980,9134,58950974
29/3/2020,13030,69419,10023,58945000
30/3/2020,14620,72290,10779,58939783
31/3/2020,15729,74419,11591,58935733
1/4/2020,16847,76517,12428,58931680
2/4/2020,18278,79141,13155,58926898
3/4/2020,19758,81569,13915,58922230
4/4/2020,20996,84150,14681,58917645
5/4/2020,21815,87455,15362,58912840
6/4/2020,22837,90224,15887,58908524
7/4/2020,24392,91632,16523,58904925
8/4/2020,26491,91968,17127,58901886
9/4/2020,28470,93283,17669,58898050
10/4/2020,30455,94892,18279,58893846
11/4/2020,32534,96194,18849,58889895
12/4/2020,34211,98592,19468,58885201
13/4/2020,35435,101029,19899,58881109
14/4/2020,37130,101921,20465,58877956
15/4/2020,38092,103329,21067,58874984
16/4/2020,40164,103346,21645,58872317
17/4/2020,42727,104044,22170,58868531
18/4/2020,44927,104762,22745,58865038
19/4/2020,47055,105643,23227,58861547
20/4/2020,48877,106435,23660,58858500
21/4/2020,51600,105514,24114,58856244
22/4/2020,54543,104766,24648,58853515
23/4/2020,57576,104666,25085,58850145
24/4/2020,60498,103926,25549,58847499
25/4/2020,63120,103905,25969,58844478
26/4/2020,64928,104039,26384,58842121
27/4/2020,66624,104407,26644,58839797
28/4/2020,68941,103496,26977,58838058
29/4/2020,71252,102894,27359,58835967
30/4/2020,75945,99964,27682,58833881
1/5/2020,78249,99247,27967,58832009
2/5/2020,79914,99278,28236,58830044
3/5/2020,81654,98964,28710,58828144
4/5/2020,82879,98954,28884,58826755
5/5/2020,85231,97628,29079,58825534
6/5/2020,93245,90453,29315,58824459
7/5/2020,96276,88497,29684,58823015
8/5/2020,99023,86877,29958,58821614
9/5/2020,103031,83953,30201,58820287
10/5/2020,105186,82687,30395,58819204
11/5/2020,106587,81923,30560,58818402
12/5/2020,109039,80036,30739,58817658
13/5/2020,112541,77764,30911,58816256
14/5/2020,115288,75710,31106,58815368
15/5/2020,120205,71523,31368,58814376
16/5/2020,122810,69465,31610,58813587
17/5/2020,125176,67821,31763,58812712
18/5/2020,127326,66201,31908,58812037
19/5/2020,129401,64478,32007,58811586
20/5/2020,132282,62248,32169,58810773
21/5/2020,134560,60474,32330,58810108
22/5/2020,136720,58800,32486,58809466
23/5/2020,138840,57202,32616,58808814
24/5/2020,140479,56113,32735,58808145
25/5/2020,141981,55092,32785,58807614
26/5/2020,144658,52623,32877,58807314
27/5/2020,147101,50499,32955,58806917
28/5/2020,150604,47463,33072,58806333
29/5/2020,152844,45746,33142,58805740
30/5/2020,155633,43386,33229,58805224
31/5/2020,157507,41817,33340,58804808
1/6/2020,158355,41249,33415,58804453
2/6/2020,160092,39630,33475,58804275
3/6/2020,160938,39047,33530,58803957
4/6/2020,161895,38340,33601,58803636
5/6/2020,163781,36543,33689,58803459
6/6/2020,165078,35679,33774,58802941
7/6/2020,165837,35118,33846,58802671
8/6/2020,166584,34515,33899,58802474
9/6/2020,168646,32668,33964,58802194
10/6/2020,169939,31579,34043,58801911
11/6/2020,171338,30311,34114,58801709
12/6/2020,173085,28890,34167,58801330
13/6/2020,174865,27217,34223,58801167
14/6/2020,176370,25980,34301,58800821
15/6/2020,177010,25634,34345,58800483
16/6/2020,178526,24393,34371,58800182
17/6/2020,179455,23640,34405,58799972
18/6/2020,180544,22836,34448,58799644
19/6/2020,181907,21738,34514,58799313
20/6/2020,182453,21396,34561,58799062
21/6/2020,182893,21171,34610,58798798
22/6/2020,183426,20838,34634,58798574
23/6/2020,184585,19877,34657,58798353
24/6/2020,186111,18446,34675,58798240
25/6/2020,186725,18400,34684,58797663
26/6/2020,187615,17792,34698,58797367
27/6/2020,188584,17068,34708,58797112
28/6/2020,188891,16928,34716,58796937
29/6/2020,189196,16775,34738,58796763
30/6/2020,190248,15843,34744,58796637
1/7/2020,190717,15493,34767,58796495
2/7/2020,191083,15288,34788,58796313
3/7/2020,191467,15075,34818,58796112
4/7/2020,191944,14806,34833,58795889
5/7/2020,192108,14856,34854,58795654
6/7/2020,192241,14908,34861,58795462
7/7/2020,192815,14534,34869,58795254
8/7/2020,193640,13816,34899,58795117
9/7/2020,193978,13656,34914,58794924
10/7/2020,194273,13563,34926,58794710
11/7/2020,194579,13521,34938,58794434
12/7/2020,194928,13353,34945,58794246
13/7/2020,195106,13400,34954,58794012
14/7/2020,195441,13221,34967,58793843
15/7/2020,196016,12743,34984,58793729
16/7/2020,196246,12662,34997,58793567
17/7/2020,196483,12635,35017,58793337
18/7/2020,196806,12532,35028,58793106
19/7/2020,196949,12624,35042,58792857
20/7/2020,197162,12626,35045,58792639
21/7/2020,197431,12534,35058,58792449
22/7/2020,197628,12450,35073,58792321
23/7/2020,197842,12507,35082,58792041
24/7/2020,198192,12453,35092,58791735
25/7/2020,198320,12572,35097,58791483
26/7/2020,198446,12715,35102,58791209
27/7/2020,198593,12817,35107,58790955
28/7/2020,198756,12817,35112,58790787
29/7/2020,199031,12733,35123,58790585
30/7/2020,199796,12250,35129,58790297
31/7/2020,199974,12451,35132,58789915
1/8/2020,200229,12566,35141,58789536
2/8/2020,200460,12625,35146,58789241
3/8/2020,200589,12726,35154,58789003
4/8/2020,200766,12696,35166,58788844
5/8/2020,200976,12671,35171,58788654
6/8/2020,201323,12698,35181,58788270
7/8/2020,201642,12774,35187,58787869
8/8/2020,201947,13018,35190,58787317
9/8/2020,202098,13201,35203,58786970
10/8/2020,202248,13512,35205,58786507
11/8/2020,202461,13554,35209,58786248
12/8/2020,202697,13724,35215,58785836
13/8/2020,202923,13964,35225,58785360
14/8/2020,203326,14077,35231,58784838
15/8/2020,203640,14334,35234,58784264
16/8/2020,203786,14659,35392,58783635
17/8/2020,203968,14950,35396,58783158
18/8/2020,204142,15092,35400,58782838
19/8/2020,204506,15124,35405,58782437
20/8/2020,204686,15579,35412,58781795
21/8/2020,204960,16139,35418,58780955
22/8/2020,205203,16834,35427,58780008
23/8/2020,205470,17635,35430,58778937
24/8/2020,205662,18645,35437,58777728
25/8/2020,206015,19241,35441,58776775
26/8/2020,206329,19799,35445,58775899
27/8/2020,206554,20927,35458,58774533
28/8/2020,206902,21983,35463,58773124
29/8/2020,208224,22112,35472,58771664
30/8/2020,208536,23243,35473,58770220
31/8/2020,207653,25487,35477,58768855
1/9/2020,207944,26186,35483,58767859
2/9/2020,208201,26896,35491,58766884
3/9/2020,208490,27927,35497,58765558
4/9/2020,209027,28777,35507,58764161
5/9/2020,209610,29915,35518,58762429
6/9/2020,210015,31188,35533,58760736
7/9/2020,210238,32254,35541,58759439
8/9/2020,210801,32829,35553,58758289
9/9/2020,211272,33717,35563,58756920
10/9/2020,211885,34520,35577,58755490
11/9/2020,212432,35560,35587,58753893
12/9/2020,213191,36407,35597,58752277
13/9/2020,213634,37459,35603,58750776
14/9/2020,213950,38592,35610,58749320
15/9/2020,214645,38891,35624,58748312
16/9/2020,215265,39491,35633,58747083
17/9/2020,215954,40242,35645,58745631
18/9/2020,216807,40959,35658,58744048
19/9/2020,217716,41947,35668,58742141
20/9/2020,218351,42925,35692,58740504
21/9/2020,218703,44145,35707,58738917
22/9/2020,219670,44511,35724,58737567
23/9/2020,220665,44893,35738,58736176
24/9/2020,221762,45416,35758,58734536
25/9/2020,222716,46225,35781,58732750
26/9/2020,223693,47140,35801,58730838
27/9/2020,224417,48268,35818,58728969
28/9/2020,225190,49244,35835,58727203
29/9/2020,226506,49406,35851,58725709
30/9/2020,227704,49831,35875,58724062
1/10/2020,228844,50522,35894,58722212
2/10/2020,229970,51920,35918,58719664
3/10/2020,231217,53149,35941,58717165
4/10/2020,231914,55268,35968,58714322
5/10/2020,232681,57061,35986,58711744
6/10/2020,234099,57884,36002,58709487
7/10/2020,235303,59329,36030,58706810
8/10/2020,236363,61915,36061,58703133
9/10/2020,237549,65165,36083,58698675
10/10/2020,238525,69533,36111,58693303
11/10/2020,239709,74044,36140,58687579
12/10/2020,240600,78583,36166,58682123
13/10/2020,242028,81735,36205,58677504
14/10/2020,244065,85555,36246,58671606
15/10/2020,245964,90945,36289,58664274
16/10/2020,247872,97757,36372,58655471
17/10/2020,249127,106456,36427,58645462
18/10/2020,251461,115000,36474,58634537
19/10/2020,252959,125138,36543,58622832
20/10/2020,255005,132356,36616,58613495
21/10/2020,257374,140769,36705,58602624
22/10/2020,259456,153759,36832,58587425
23/10/2020,261808,167349,36968,58571347
24/10/2020,264117,184092,37059,58552204
25/10/2020,266203,201495,37210,58532564
26/10/2020,268626,220217,37338,58511291
27/10/2020,271988,233721,37479,58494284
28/10/2020,275404,252073,37700,58472295
29/10/2020,279282,272978,37905,58447307
30/10/2020,283567,295305,38122,58420478
31/10/2020,289426,320326,38321,58389399
1/11/2020,292380,348831,38618,58357643
2/11/2020,296017,374891,38826,58327738
3/11/2020,302275,390653,39059,58305485
4/11/2020,307378,413438,39412,58277244
5/11/2020,312339,438690,39747,58246696
6/11/2020,322925,462161,40192,58212194
7/11/2020,328891,493551,40638,58174392
8/11/2020,335074,526752,41063,58134583
9/11/2020,345289,548820,41394,58101969
10/11/2020,363023,555999,41750,58076700
11/11/2020,372113,581419,42330,58041610
12/11/2020,387758,598112,42953,58008649
13/11/2020,399238,623973,43589,57970672
14/11/2020,411434,652129,44139,57929770
15/11/2020,420810,679458,44683,57892521
16/11/2020,442364,691335,45229,57858544
17/11/2020,457798,702749,45733,57831192
18/11/2020,481967,710040,46464,57799001
19/11/2020,498987,726547,47217,57764721
20/11/2020,520022,741035,47870,57728545
21/11/2020,539524,758073,48569,57691306
22/11/2020,553098,778571,49261,57656542
23/11/2020,584493,774951,49823,57628205
24/11/2020,605330,776411,50453,57605278
25/11/2020,637149,766966,51306,57582051
26/11/2020,661180,768065,52028,57556199
27/11/2020,696647,760777,52850,57527198
28/11/2020,720861,764078,53677,57498856
29/11/2020,734503,776065,54363,57472541
30/11/2020,757507,773166,54904,57451895
1/12/2020,784595,761782,55576,57435519
2/12/2020,823335,741604,56361,57416172
3/12/2020,846809,738155,57045,57395463
4/12/2020,872385,734805,58038,57372244
5/12/2020,896308,734178,58852,57348134
6/12/2020,913494,737382,59514,57327082
7/12/2020,933132,736067,60078,57308195
8/12/2020,958629,723721,60606,57294516
9/12/2020,997895,698658,61240,57279679
10/12/2020,1027994,680815,61739,57266924
11/12/2020,1052163,672757,62626,57249926
12/12/2020,1076891,665994,63387,57231200
13/12/2020,1093161,668977,64036,57211298
14/12/2020,1115617,663974,64520,57193361
15/12/2020,1141406,649719,65011,57181336
16/12/2020,1175901,629217,65857,57166497
17/12/2020,1203814,618192,66537,57148929
18/12/2020,1226086,613470,67220,57130696
19/12/2020,1249470,604813,67894,57115295
20/12/2020,1261626,608409,68447,57098990
21/12/2020,1281258,603527,68799,57083888
22/12/2020,1301573,593666,69214,57073019
23/12/2020,1322067,585860,69842,57059703
24/12/2020,1344785,576497,70395,57045795
25/12/2020,1377109,561707,70900,57027756
26/12/2020,1386198,571196,71359,57008719
27/12/2020,1394011,573544,71627,56998290
28/12/2020,1408686,567484,71925,56989377
29/12/2020,1425730,558576,72370,56980796
30/12/2020,1445690,549167,73029,56969586
31/12/2020,1463111,546974,73604,56953783
1/1/2021,1479988,553019,74159,56930306
2/1/2021,1489154,565601,74621,56908096
3/1/2021,1503900,562316,74985,56896271
4/1/2021,1520106,560008,75332,56882026
5/1/2021,1536129,554435,75680,56871228
6/1/2021,1556356,548934,76329,56855853
7/1/2021,1572015,553053,76877,56835527
8/1/2021,1589590,553480,77291,56817111
9/1/2021,1606630,553349,77911,56799582
10/1/2021,1617804,561668,78394,56779606
11/1/2021,1633839,563897,78755,56760981
12/1/2021,1653404,556414,79203,56748451
13/1/2021,1673936,549508,79819,56734209
14/1/2021,1694051,544659,80326,56718436
15/1/2021,1713030,542401,80848,56701193
16/1/2021,1729216,541882,81325,56685049
17/1/2021,1745726,541207,81800,56668739
18/1/2021,1760489,538611,82177,56656195
19/1/2021,1781917,525631,82554,56647370
20/1/2021,1806932,510509,83157,56636874
21/1/2021,1827451,503034,83681,56623306
22/1/2021,1855127,488892,84202,56609251
23/1/2021,1871189,485991,84674,56595618
24/1/2021,1882074,487949,85162,56582287
25/1/2021,1897861,483491,85461,56570659
26/1/2021,1917117,472374,85881,56562100
27/1/2021,1936289,463245,86422,56551516
28/1/2021,1953509,460749,86889,56536325
29/1/2021,1973388,454738,87381,56521965
30/1/2021,1990152,451060,87858,56508402
31/1/2021,2010548,442956,88279,56495689
1/2/2021,2024523,439993,88516,56484440
2/2/2021,2043499,428613,88845,56476515
3/2/2021,2059248,422017,89343,56466864
4/2/2021,2076928,417043,89819,56453682
5/2/2021,2091923,415282,90241,56440026
6/2/2021,2107061,413980,90618,56425813
7/2/2021,2118441,415654,91003,56412374
8/2/2021,2133523,411942,91273,56400734
9/2/2021,2149350,403777,91580,56392765
10/2/2021,2165817,397500,92002,56382153
11/2/2021,2185655,390273,92338,56369206
12/2/2021,2202077,388597,92729,56354069
13/2/2021,2216050,388201,93045,56340176
14/2/2021,2225519,391944,93356,56326653
15/2/2021,2237290,391012,93577,56315593
16/2/2021,2251734,383654,93835,56308249
17/2/2021,2268253,377167,94171,56297881
18/2/2021,2286024,371093,94540,56285815
19/2/2021,2303199,367331,94882,56272060
20/2/2021,2315687,369960,95235,56256590
21/2/2021,2324633,375677,95486,56241676
22/2/2021,2334968,378560,95718,56228226
23/2/2021,2347866,375005,95992,56218609
24/2/2021,2362465,373349,96348,56205310
25/2/2021,2375318,376580,96666,56188908
26/2/2021,2387032,384429,96974,56169037
27/2/2021,2398352,393344,97227,56148549
28/2/2021,2405199,405119,97507,56129647
1/3/2021,2416093,411473,97699,56112207
2/3/2021,2426150,414276,97945,56099101
3/3/2021,2440218,416928,98288,56082038
4/3/2021,2453706,423933,98635,56061198
5/3/2021,2467388,432757,98974,56038353
6/3/2021,2481372,442486,99271,56014343
7/3/2021,2494839,452345,99578,55990710
8/3/2021,2508732,458969,99785,55969986
9/3/2021,2521731,459534,100103,55956104
10/3/2021,2535483,465131,100479,55936379
11/3/2021,2550483,472074,100811,55914104
