date,cases_recovered,cases_active,deaths_total,susceptible
17/7/2020,98281,1762,8773,38123777
18/7/2020,98436,2027,8790,38123340
19/7/2020,98564,2292,8802,38122935
20/7/2020,98975,2202,8811,38122605
21/7/2020,99248,2264,8815,38122266
22/7/2020,99501,2791,8821,38121480
23/7/2020,99937,2922,8825,38120909
24/7/2020,100504,2890,8833,38120366
25/7/2020,100765,3057,8837,38119934
26/7/2020,100969,3380,8844,38119400
27/7/2020,101447,3248,8848,38119050
28/7/2020,101686,3360,8852,38118695
29/7/2020,101992,3729,8863,38118009
30/7/2020,102344,3762,8874,38117613
31/7/2020,102906,3605,8881,38117201
1/8/2020,103072,3822,8891,38116808
2/8/2020,103201,4200,8897,38116295
3/8/2020,103284,4398,8903,38116008
4/8/2020,104058,3905,8907,38115723
5/8/2020,104377,3731,8909,38115576
6/8/2020,104678,4179,8920,38114816
7/8/2020,105128,4120,8924,38114421
8/8/2020,105255,4363,8928,38114047
9/8/2020,105420,4618,8932,38113623
10/8/2020,108050,2218,8938,38113387
11/8/2020,108465,2028,8943,38113157
12/8/2020,108829,2339,8949,38112476
13/8/2020,109260,2193,8953,38112187
14/8/2020,109657,2204,8968,38111764
15/8/2020,109933,2324,8977,38111359
16/8/2020,110202,2468,8982,38110941
17/8/2020,110433,2470,8986,38110704
18/8/2020,111092,2007,8988,38110506
19/8/2020,111559,2319,8994,38109721
20/8/2020,111811,2336,9007,38109439
21/8/2020,112381,2097,9012,38109103
22/8/2020,112621,2236,9016,38108720
23/8/2020,112836,2510,9026,38108221
24/8/2020,113449,2147,9033,38107964
25/8/2020,113809,2052,9035,38107697
26/8/2020,114220,2381,9045,38106947
27/8/2020,114610,2307,9052,38106624
28/8/2020,115029,2332,9056,38106176
29/8/2020,115294,2490,9064,38105745
30/8/2020,115460,2775,9075,38105283
31/8/2020,116020,2578,9075,38104920
1/9/2020,116432,2429,9079,38104653
2/9/2020,116866,2994,9088,38103645
3/9/2020,117277,3054,9094,38103168
4/9/2020,117755,3071,9097,38102670
5/9/2020,117968,3422,9103,38102100
6/9/2020,118192,3828,9104,38101469
7/9/2020,118386,4003,9106,38101098
8/9/2020,119420,3368,9107,38100698
9/9/2020,119789,3245,9108,38100451
10/9/2020,120848,3785,9115,38098845
11/9/2020,121537,3640,9117,38098299
12/9/2020,121944,3855,9125,38097669
13/9/2020,122266,4234,9126,38096967
14/9/2020,123120,3889,9132,38096452
15/9/2020,123777,3749,9133,38095934
16/9/2020,124412,4457,9141,38094583
17/9/2020,124984,4669,9150,38093790
18/9/2020,125654,4938,9155,38092846
19/9/2020,125984,5721,9162,38091726
20/9/2020,126592,6152,9167,38090682
21/9/2020,127684,5917,9173,38089819
22/9/2020,128890,5580,9179,38088944
23/9/2020,129850,6375,9190,38087178
