date,cases_recovered,cases_active,deaths_total,susceptible
17/4/2020,903,1654,48,59891279
18/4/2020,903,1830,50,59891101
19/4/2020,903,2079,52,59890850
20/4/2020,1055,2049,54,59890726
21/4/2020,1055,2187,58,59890584
22/4/2020,1055,2352,58,59890419
23/4/2020,1473,2097,65,59890249
24/4/2020,1473,2405,75,59889931
25/4/2020,1473,2668,79,59889664
26/4/2020,1473,2802,86,59889523
27/4/2020,1473,2986,87,59889338
28/4/2020,2073,2630,90,59889091
29/4/2020,2073,2830,93,59888888
30/4/2020,2073,3174,103,59888534
1/5/2020,2382,3162,103,59888237
2/5/2020,2549,3286,116,59887933
3/5/2020,2549,3664,123,59887548
4/5/2020,2746,3906,131,59887101
5/5/2020,2746,4336,138,59886664
6/5/2020,3153,4271,148,59886312
7/5/2020,3153,4502,153,59886076
8/5/2020,3153,4918,161,59885652
9/5/2020,3983,4734,178,59884989
10/5/2020,4173,5061,186,59884464
11/5/2020,4357,5464,194,59883869
12/5/2020,4357,6089,206,59883232
13/5/2020,4745,6399,206,59882534
14/5/2020,5676,6179,219,59881810
15/5/2020,6083,6418,238,59881145
16/5/2020,6478,6799,247,59880360
17/5/2020,7006,7088,261,59879529
18/5/2020,7298,7953,264,59878369
19/5/2020,7960,8187,286,59877451
20/5/2020,8950,7938,312,59876684
21/5/2020,8950,8714,339,59875881
22/5/2020,10104,8664,369,59874747
23/5/2020,10104,9624,397,59873759
24/5/2020,11100,9836,407,59872541
25/5/2020,11917,10237,429,59871301
26/5/2020,12741,10393,481,59870269
27/5/2020,13451,10289,524,59869620
28/5/2020,14370,11015,552,59867947
29/5/2020,15093,11733,577,59866481
30/5/2020,16116,12513,611,59864644
31/5/2020,16809,13515,643,59862917
1/6/2020,17291,14709,683,59861201
2/6/2020,18313,15224,820,59859527
3/6/2020,19682,15157,973,59858072
4/6/2020,21311,15129,1085,59856359
5/6/2020,23088,16416,1288,59853092
6/6/2020,24258,17715,1461,59850450
7/6/2020,24364,19954,1655,59847911
8/6/2020,26099,20429,1757,59845599
9/6/2020,29006,20001,1872,59843005
10/6/2020,31505,19469,2017,59840893
11/6/2020,33252,20094,2075,59838463
12/6/2020,35006,21336,2226,59835316
13/6/2020,36850,22699,2378,59831957
14/6/2020,38531,24758,2447,59828148
15/6/2020,39867,27667,2504,59823846
16/6/2020,42063,28837,2633,59820351
17/6/2020,44331,29214,2789,59817550
18/6/2020,44920,32612,2880,59813472
19/6/2020,47825,32992,3073,59809994
20/6/2020,50326,34095,3294,59806169
21/6/2020,51608,37619,3454,59801203
22/6/2020,53444,40180,3678,59796582
23/6/2020,55045,42758,3787,59792294
24/6/2020,56874,45313,3921,59787776
25/6/2020,59974,47659,4163,59782088
26/6/2020,64111,49952,4312,59775509
27/6/2020,67094,53043,4453,59769294
28/6/2020,68925,58237,4638,59762084
29/6/2020,70614,62733,4787,59755750
30/6/2020,73543,65770,4951,59749620
1/7/2020,76025,70041,5143,59742675
2/7/2020,81999,72099,5235,59734551
3/7/2020,86298,76433,5330,59725823
4/7/2020,91227,80459,5438,59716760
5/7/2020,93315,89150,5512,59705907
6/7/2020,97848,93217,5685,59697134
7/7/2020,102299,97626,5796,59688163
8/7/2020,106842,103025,5988,59678029
9/7/2020,113061,105527,6077,59669219
10/7/2020,118232,113900,6206,59655546
11/7/2020,127715,116626,6346,59643197
12/7/2020,134874,122853,6457,59629700
13/7/2020,138241,131436,6565,59617642
14/7/2020,146279,134859,6658,59606088
15/7/2020,160693,130767,6832,59595592
16/7/2020,165591,138519,6939,59582835
17/7/2020,178183,138883,7155,59569663
18/7/2020,182230,148074,7290,59556290
19/7/2020,191059,152386,7434,59543005
20/7/2020,194865,161944,7519,59529556
21/7/2020,208144,157825,7659,59520256
22/7/2020,229175,144769,7854,59512086
23/7/2020,236260,150262,8426,59498936
24/7/2020,245771,153702,8579,59485832
25/7/2020,263054,150113,8829,59471888
26/7/2020,265077,159982,9141,59459684
27/7/2020,274925,161253,9255,59448451
28/7/2020,287313,155663,9553,59441355
29/7/2020,297967,152051,9743,59434123
30/7/2020,309601,151539,9983,59422761
31/7/2020,326171,145700,10298,59411715
1/8/2020,342461,140231,10491,59400701
2/8/2020,347227,145424,10639,59390594
3/8/2020,358037,142596,10852,59382399
4/8/2020,363751,142086,11025,59377022
5/8/2020,377266,132682,11370,59372566
6/8/2020,387316,130777,11784,59364007
7/8/2020,394759,131335,12090,59355700
8/8/2020,404568,128513,12395,59348408
9/8/2020,411474,129018,12696,59340696
10/8/2020,417200,129765,12894,59334025
11/8/2020,426125,124366,13107,59330286
12/8/2020,432029,120843,13237,59327775
13/8/2020,437617,117806,13496,59324965
14/8/2020,461734,97375,13756,59321019
15/8/2020,466941,98157,14042,59314744
16/8/2020,472377,97113,14163,59310231
17/8/2020,477671,95349,14325,59306539
18/8/2020,485468,89950,14468,59303998
19/8/2020,491441,85953,14750,59301740
20/8/2020,497169,83982,14909,59297824
21/8/2020,500102,84734,15104,59293944
22/8/2020,504127,83882,15329,59290546
23/8/2020,506470,85102,15473,59286839
24/8/2020,516494,77734,15545,59284111
25/8/2020,520381,75424,15645,59282434
26/8/2020,525242,71981,15794,59280867
27/8/2020,531338,68375,15988,59278183
28/8/2020,533935,68237,16114,59275598
29/8/2020,536694,67209,16229,59273752
30/8/2020,538604,67480,16467,59271333
31/8/2020,540923,67619,16514,59268828
1/9/2020,549993,60413,16635,59266843
2/9/2020,553456,58054,16749,59265625
3/9/2020,554887,58833,16875,59263289
4/9/2020,557818,58148,17049,59260869
5/9/2020,561204,56710,17164,59258806
6/9/2020,563891,55728,17265,59257000
7/9/2020,566555,54587,17375,59255367
8/9/2020,567729,54143,17490,59254522
9/9/2020,569935,52934,17572,59253443
10/9/2020,573003,51774,17654,59251453
11/9/2020,574587,52100,17751,59249446
12/9/2020,576423,52111,17864,59247486
13/9/2020,577906,52395,17913,59245670
14/9/2020,579289,52571,17933,59244091
15/9/2020,583126,49638,17985,59243135
16/9/2020,584195,49199,18127,59242363
17/9/2020,585303,49950,18191,59240440
18/9/2020,586844,50470,18258,59238312
19/9/2020,589434,49850,18343,59236257
20/9/2020,590071,51159,18426,59234228
21/9/2020,591208,51564,18439,59232673
22/9/2020,592904,50554,18478,59231948
23/9/2020,594229,50449,18604,59230602
24/9/2020,595916,50580,18692,59228696
25/9/2020,599149,49131,18769,59226835
26/9/2020,601818,47913,18798,59225355
27/9/2020,603721,46915,18862,59224386
28/9/2020,604478,47404,18884,59223118
29/9/2020,606520,46077,19072,59222215
30/9/2020,608112,45307,19153,59221312
1/10/2020,609584,45535,19220,59219545
2/10/2020,611044,45688,19352,59217800
3/10/2020,612763,45675,19395,59216051
4/10/2020,614781,45511,19424,59214168
5/10/2020,615684,46143,19462,59212595
6/10/2020,616857,45856,19502,59211669
7/10/2020,618127,45526,19589,59210642
8/10/2020,618771,46650,19734,59208729
9/10/2020,620081,46916,19894,59206993
10/10/2020,622153,46346,20033,59205352
11/10/2020,623765,47087,20044,59202988
12/10/2020,624659,47764,20048,59201413
13/10/2020,625574,47729,20056,59200525
14/10/2020,626898,47565,20074,59199347
15/10/2020,628301,48029,20084,59197470
16/10/2020,629260,48832,20092,59195700
17/10/2020,630436,49651,20116,59193681
18/10/2020,634543,47467,20121,59191753
19/10/2020,635257,48415,20121,59190091
20/10/2020,639568,45554,20132,59188630
21/10/2020,641706,44302,20296,59187580
22/10/2020,642560,45495,20304,59185525
23/10/2020,643523,46668,20324,59183369
24/10/2020,644641,47440,20331,59181472
25/10/2020,646170,47735,20341,59179638
26/10/2020,646721,48801,20346,59178016
27/10/2020,647833,48570,20356,59177125
28/10/2020,648654,48822,20375,59176033
29/10/2020,649935,49388,20391,59174170
30/10/2020,653052,48312,20406,59172114
31/10/2020,654182,49084,20416,59170202
1/11/2020,655330,49696,20426,59168432
2/11/2020,657500,48889,20434,59167061
3/11/2020,659259,47898,20438,59166289
4/11/2020,660185,48203,20448,59165048
5/11/2020,671579,38512,20457,59163336
6/11/2020,675593,36341,20480,59161470
7/11/2020,678738,34950,20487,59159709
8/11/2020,679688,35720,20498,59157978
9/11/2020,680726,36053,20499,59156606
10/11/2020,683194,34819,20512,59155359
11/11/2020,686458,33269,20527,59153630
12/11/2020,690903,30904,20587,59151490
13/11/2020,692177,31951,20604,59149152
14/11/2020,693261,33065,20619,59146939
15/11/2020,693467,35077,20638,59144702
16/11/2020,695496,34855,20673,59142860
17/11/2020,696820,34762,20687,59141615
18/11/2020,701534,32028,20694,59139628
19/11/2020,702544,33889,20711,59136740
20/11/2020,707040,31883,20735,59134226
21/11/2020,707784,34156,20823,59131121
22/11/2020,710099,34465,20845,59128475
23/11/2020,711195,35581,20903,59126205
24/11/2020,716444,32347,20968,59124125
25/11/2020,716444,34725,21083,59121632
26/11/2020,716444,37857,21201,59118382
27/11/2020,722876,34406,21289,59115313
28/11/2020,723347,37216,21378,59111943
29/11/2020,730633,33067,21439,59108745
30/11/2020,731242,34983,21477,59106182
1/12/2020,732531,35938,21535,59103880
2/12/2020,734305,36350,21644,59101585
3/12/2020,739367,35396,21709,59097412
4/12/2020,740450,38619,21803,59093012
5/12/2020,744298,39543,21963,59088080
6/12/2020,744780,43602,22067,59083435
7/12/2020,745750,46609,22206,59079319
8/12/2020,753072,42557,22249,59076006
9/12/2020,754658,44799,22432,59071995
10/12/2020,756671,49353,22574,59065286
11/12/2020,758373,55644,22747,59057120
12/12/2020,760118,62013,22952,59048801
13/12/2020,761011,68848,23106,59040919
14/12/2020,762746,74942,23276,59032920
15/12/2020,764977,77699,23451,59027757
16/12/2020,774585,75433,23661,59020205
17/12/2020,780313,79547,23827,59010197
18/12/2020,783818,84984,24011,59001071
19/12/2020,787782,89471,24285,58992346
20/12/2020,793914,94024,24539,58981407
21/12/2020,796346,100885,24691,58971962
22/12/2020,808241,97563,24907,58963173
23/12/2020,811372,103594,25246,58953672
24/12/2020,822978,105623,25657,58939626
25/12/2020,830251,112329,25983,58925321
26/12/2020,839194,117889,26276,58910525
27/12/2020,844874,123516,26521,58898973
28/12/2020,849974,127704,26735,58889471
29/12/2020,858456,126344,27071,58882013
30/12/2020,867597,126286,27568,58872433
31/12/2020,879671,131457,28033,58854723
1/1/2021,887701,141391,28469,58836323
2/1/2021,897704,147296,28887,58819997
3/1/2021,903679,156035,29175,58804995
4/1/2021,911573,159598,29577,58793136
5/1/2021,920879,162459,30011,58780535
6/1/2021,929239,167996,30524,58766125
7/1/2021,938216,180007,31368,58744293
8/1/2021,947919,190862,31809,58723294
9/1/2021,956712,203433,32425,58701314
10/1/2021,966368,214984,32824,58679708
11/1/2021,973265,225169,33163,58662287
12/1/2021,1019123,193941,33579,58647241
13/1/2021,1030930,194484,34334,58634136
14/1/2021,1049740,193423,35140,58615581
15/1/2021,1062690,198264,35852,58597078
16/1/2021,1083978,191241,36467,58582198
17/1/2021,1098441,190367,36851,58568225
18/1/2021,1117452,183369,37105,58555958
19/1/2021,1144857,164630,37449,58546948
20/1/2021,1160412,158016,38288,58537168
21/1/2021,1183443,147129,38854,58524458
22/1/2021,1201284,140022,39501,58513077
23/1/2021,1217492,135000,40076,58501316
24/1/2021,1230520,133745,40574,58489045
25/1/2021,1241421,130691,40874,58480898
26/1/2021,1254674,121746,41117,58476347
27/1/2021,1263476,118305,41797,58470306
28/1/2021,1272197,115901,42550,58463236
29/1/2021,1284781,109912,43105,58456086
30/1/2021,1292921,107385,43633,58449945
31/1/2021,1299620,105665,43951,58444648
1/2/2021,1306022,103575,44164,58440123
2/2/2021,1318504,93406,44399,58437575
3/2/2021,1323680,90332,44946,58434926
4/2/2021,1327186,90486,45344,58430868
5/2/2021,1335618,85544,45605,58427117
6/2/2021,1340497,84117,45902,58423368
7/2/2021,1360204,67316,46180,58420184
8/2/2021,1363947,65898,46290,58417749
9/2/2021,1367247,63791,46473,58416373
10/2/2021,1374368,58016,46869,58414631
11/2/2021,1377980,57287,47145,58411472
12/2/2021,1383626,53892,47382,58408984
13/2/2021,1385996,54015,47670,58406203
14/2/2021,1388321,53921,47821,58403821
15/2/2021,1391155,52753,47899,58402077
16/2/2021,1396951,47864,48094,58400975
17/2/2021,1399829,45977,48313,58399765
18/2/2021,1403214,44747,48478,58397445
19/2/2021,1406907,43151,48708,58395118
20/2/2021,1409553,42265,48859,58393207
21/2/2021,1412015,41412,48940,58391517
22/2/2021,1413566,41177,49053,58390088
23/2/2021,1419459,35979,49150,58389296
24/2/2021,1422622,33551,49413,58388298
25/2/2021,1424401,33524,49523,58386436
26/2/2021,1426417,33040,49667,58384760
27/2/2021,1429047,31947,49784,58383106
28/2/2021,1430259,32025,49941,58381659
1/3/2021,1431336,32064,49993,58380491
2/3/2021,1433320,30562,50077,58379925
3/3/2021,1434772,29772,50271,58379069
4/3/2021,1436010,29886,50366,58377622
5/3/2021,1437050,30154,50462,58376218
6/3/2021,1439515,28898,50566,58374905
7/3/2021,1440874,28685,50647,58373678
8/3/2021,1442045,28345,50678,58372816
9/3/2021,1444282,26621,50803,58372178
10/3/2021,1445979,25812,50906,58371187
11/3/2021,1447503,25656,51015,58369710
